//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		100;		none;		NPC_CHAT;		0;		I hope you enjoy your death as much as I will.;		300;		npc_bad.txt>0>What ever you say...;		000;		null;		null;		null;		null;		667.88;		-141.58
SCRIPT;		10;		START;		OPTION;		0;		Well look what we have here. Perhaps you better head back to the station before you find yourself in some real trouble.;		npc_bad.txt>100>That sounds like some great advice sir.;		npc_bad.txt>15>Oooh, frisky kitten gets the nip!;		;		null;		null;		null;		null;		177.40;		-142.86
SCRIPT;		15;		95824;		TEXT;		0;		Such a foolish pilot. It is a shame that you live only a few moments of regret before your ship burns you alive. A lifetime of experience wasted on ego and hubris. ;		npc_bad.txt>100>Spare me the psychobable.;		null;		null;		null;		null;		null;		null;		432.21;		-210.74
SCRIPT;		20;		START;		OPTION;		0;		Why would you want to shoot at me?;		npc_bad.txt>25>Because you shot first.;		npc_bad.txt>26>You show up on my sensors as hostile.;		npc_bad.txt>27>That pilot over there told me to.;		null;		null;		null;		null;		194.07;		-335.78
SCRIPT;		25;		82820;		NPC_CHAT;		0;		Oh yeah... prepare to die! ;		300;		npc_bad.txt>0>Not today.;		null;		null;		null;		null;		null;		433.40;		-333.38
SCRIPT;		26;		39830;		NPC_CHAT;		0;		Oh, surely that is just a malfunction. You might want to have that checked next time you dock. Tell you what, How about I give that a look for ya?;		300;		npc_bad.txt>0>Um... no thank you.;		null;		null;		null;		null;		null;		432.22;		-407.21
SCRIPT;		27;		44384;		NPC_CHAT;		0;		I knew it. We have a bit of a history in this sector. I kill him, he gets upset. He kills me and on it goes. Tell you what, after I finish with you I will pay him a visit. It has been awhile.;		300;		npc_bad.txt>0>Ramblings of another bliss addict.;		null;		null;		null;		null;		null;		433.41;		-475.09
SCRIPT;		40;		START;		OPTION;		0;		Do you think I want to be the bad guy? ;		npc_bad.txt>45>I would assume so, yes.;		npc_bad.txt>46>Should I think otherwise?;		npc_bad.txt>47>No, I suspect you aspire for something more.;		null;		null;		null;		null;		194.07;		-588.20
SCRIPT;		45;		73419;		TEXT;		0;		I guess my choices are mine alone to bare.;		npc_bad.txt>48>What is going on here?;		null;		null;		null;		null;		null;		null;		429.85;		-588.81
SCRIPT;		48;		57593;		NPC_CHAT;		0;		I am sorry, let us get on with the killing.;		300;		npc_bad.txt>0>Indeed.;		null;		null;		null;		null;		null;		664.41;		-587.01
SCRIPT;		46;		94188;		NPC_CHAT;		0;		I guess you wouldn't.;		300;		npc_bad.txt>0>I don't have time for this nonsense.;		null;		null;		null;		null;		null;		429.83;		-656.09
SCRIPT;		47;		35154;		NPC_CHAT;		0;		I do. I have been in search of something I lost a long time ago. ;		300;		npc_bad.txt>0>You may lose more in a few minutes.;		null;		null;		null;		null;		null;		429.84;		-726.33
SCRIPT;		30;		START;		NPC_CHAT;		0;		I have no desire to communicate with you.;		300;		npc_bad.txt>0>I agree, let us fight instead.;		null;		null;		null;		null;		null;		1013.31;		-139.30
