//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_9.png;		accessory_15.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Jonathan Hetcher;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		If you are interested in learning some information about how to orbit your ship around a target, I would be happy to help. Orbiting is simple, and it shouldn't take long for you to grasp the basics. So what do you say? Are you ready to start this short tutorial?;		tutorial_ship_orbits.txt>100>Sure, why not.;		tutorial_ship_orbits.txt>200>Not right now.;		;		null;		null;		null;		null;		411.00;		-219.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (1 of 6)[/][/s][n]It is possible to program your ship’s computer to use trajectory information to orbit any target you currently have scanned. Orbiting a target can have some benefits when it comes to combat and resource gathering. As the commander of your ship, you are given the ability to adjust a number of factors that will determine how the ship behaves when orbit parameters have been met.;		tutorial_ship_orbits.txt>10>BACK;		tutorial_ship_orbits.txt>110>NEXT;		;		null;		null;		null;		null;		417.00;		-305.00
SCRIPT;		200;		81314;		TEXT;		0;		Sometimes it can be helpful to take a refresher course, just in case you missed something the first time.  I will be right here waiting if you change your mind.;		tutorial_ship_orbits.txt>0>I will keep that in mind.;		null;		null;		null;		null;		null;		null;		645.00;		-220.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (2 of 6)[/][/s][n]The orbit can be controlled by using a few options located on the AUTOPILOT panel. This panel will provide the 4 main areas that control the ship’s orbit. [n][n]The Orbit Toggle button that will allow you to enable and disable the ship orbit at any time. This is followed by the target distance option and the direction and angle controls. The last indicator controls the speed of the orbit.;		tutorial_ship_orbits.txt>100>BACK;		tutorial_ship_orbits.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-399.00
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (3 of 6)[/][/s][n]The direction of the orbit can be controlled by setting the orbit angle to a positive value (clockwise orbit) or a negative value (counter clockwise). [n][n]If you want the ship to continue to face the target you are orbiting, use a small value like (-10, or 10). If you prefer more of a broadside orbit, use a larger value like (80 or -80).;		tutorial_ship_orbits.txt>110>BACK;		tutorial_ship_orbits.txt>130>NEXT;		;		null;		null;		null;		null;		418.00;		-490.00
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (4 of 6)[/][/s][n]The speed at which your ship will orbit the target may slightly change as the ship adjusts it’s turnspeed and lateral shift. This is done to maintain the target orbit distance you have set. Using a low speed orbit can be great for mining and salvaging operations. High speed orbits can prove beneficial during combat engagements.;		tutorial_ship_orbits.txt>120>BACK;		tutorial_ship_orbits.txt>140>NEXT;		;		null;		null;		null;		null;		418.00;		-578.00
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (5 of 6)[/][/s][n]The orbit distance will control how far away the ship should be from the center of the orbit. Setting the orbit distance to a low value will cause the ship to orbit closely to the target. This will cause the ship to move quickly around the object. [n][n]Setting the target distance to a high value will cause the ship to take more time to cycle the object, even though the ship is traveling at the same speed. Setting the target distance can be helpful in combat when trying to keep your ship at range from the enemy raiders.;		tutorial_ship_orbits.txt>130>BACK;		tutorial_ship_orbits.txt>150>NEXT;		;		null;		null;		null;		null;		418.00;		-669.00
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Ship Orbits Tutorial (6 of 6)[/][/s][n]You can use the orbit abilities of your ship to gain a favorable position on your enemy during combat. The station garage will allow you  to adjust the rotation of each module so that while in orbit, your weapons will have enough mobility to point at the target.How much rotation, and which direction to rotate will depend on how you set the angle of orbit. It may take a bit of trial and error to find the best configuration for your ship, but the benefits can prove rewarding.;		tutorial_ship_orbits.txt>140>BACK;		tutorial_ship_orbits.txt>160>NEXT;		;		null;		null;		null;		null;		418.00;		-761.00
SCRIPT;		160;		76035;		OPTION;		0;		See there, that didn't take long at all. If you ever need a refresher course, stop by and I will run you through the basics again.I guess I could make it easy on you an give you a copy of this tutorial document. You want it?;		tutorial_ship_orbits.txt>175>Great, I will take it.;		tutorial_ship_orbits.txt>0>No thanks, I don't need it.;		;		null;		null;		null;		null;		420.25;		-849.52
SCRIPT;		175;		10478;		GET_DOCUMENT;		0;		There you go. You can access this document any time you need to. Just open up your [yellow]Pilot's Journal[/] and you will find it under DOCUMENTS. Anyway, you take care out there. Stay safe.;		doc_tutorial_ship_orbits_1.txt;		tutorial_ship_orbits.txt>0>Thank you.;		null;		null;		null;		null;		null;		652.68;		-923.10
