// BACKGROUND EVENTS
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// 0	1		2																3 				4				5						6							7					8					9			10											11			12
//		EVENT	EVENT															EVENT			EVENT			EVENT					EVENT						EVENT				EVENT				EVENT		EVENT										EVENT		EVENT
//		ID		Title															TYPE			CLASS			SUBCLASS				IMAGE						EFFECT				value_1				value_2		value_3										Frequency	description body
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

EVENT;	1;		(PERSON_1) elected in (FACTION_1);								Alpha;			Political;		Election;				event_election.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		(PERSON_1) has been elected to the Local Council in the (FACTION_1) region. (PERSON_1) is well known for his negative stance against the (FACTION_2) faction. (FACTION_1) members will have to be more cautious when traveling the (FACTION_2) Region.
EVENT;	2;		Wanted Criminal, (PERSON_1) captured in (FACTION_1) space;		Alpha;			Faction;		Crime;					event_criminal.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		The wanted criminal raider (PERSON_1), was captured today by Commander (PERSON_2). The fugitive was hiding in the outskirts of the (FACTION_1) region. The (FACTION_2) faction administrators have been notified and have yet to comment on the arrest of (PERSON_1).
EVENT;	3;		(FACTION_1) Council Member (PERSON_1)'s Referendum.;			Alpha;			Political;		Political;				event_political.png;		ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		The decision made by (PERSON_1) of the (FACTION_1) last week has been upheld by the Chief Counsel and is currently waiting approval from the (FACTION_2) Liaison, (PERSON_2). Once this referendum has been accepted, it will be a matter of days before the (FACTION_1) Council votes.
EVENT;	4;		(PERSON_1) Scandal affects (FACTION_1) Relations;				Alpha;			Faction;		Political Scandal;		event_pscandal.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		The breaking scandal involving (PERSON_1)'s illegal hiring of (PERSON_2) of the (FACTION_2) faction has brought recent Council decisions into question once again. Members of the (FACTION_1) Council have raised additional concerns about the nature of these private dealings. An investigation will soon be underway as Judicial officials prepare to state verdict upon the accused.
EVENT;	5;		Diplomatic Exchange at the (FACTION_1) Capitol;					Alpha;			Political;		Diplomatic;				event_diplomatic.png;		ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		(PERSON_1) remarked today at the (FACTION_1) Capitol that, 'We need to take a harsh stance against this ongoing criminal activity, propagated by (PERSON_2) of the (FACTION_2) faction.'. Members of the (FACTION_1) Council agree to take a vote on how future relations with the (FACTION_2) may be improved.
EVENT;	6;		Will (PERSON_1) Propose?;										Alpha;			Faction;		Social;					event_proposal.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		Recently, celebrity (PERSON_1) was spotted at a well known jewelry merchant in fashion district of the (FACTION_1) Region. It is speculated that there could be an upcoming marriage proposal in the future for Lady (PERSON_2). I guess we'll have to see how (PERSON_2)'s father of the (FACTION_2) faction will take it. Things could get interesting if this proves to be true.
EVENT;	7;		(PERSON_1) suspected of cheating on (PERSON_2);					Alpha;			Faction;		Social Scandal;			event_sscandal.png;			ADJUST_FACTION;		rnd;				rnd;		rnd;										0.20;		Photographs have surfaced of (PERSON_1) leaving a popular night spot in the (FACTION_1) district in the early morning hours with an unknown friend. Clearly (PERSON_2) was not happy about it and refused to comment when asked about what this could mean for their marriage. According to (FACTION_2) civil code, this could prove costly for (PERSON_1).

EVENT;	8;		Skirmish between (FACTION_1) and (FACTION_2) in (SECTOR_1);		Alpha;			Faction;		Faction Skirmish;		event_battle.png;			FACTION_BATTLE;		rnd;				rnd;		rnd;										0.10;		(PERSON_1) of the (FACTION_1) faction has been credited with instigating a dispute with some local members of the (FACTION_2) faction. It is recommended that members of these factions avoid (SECTOR_1) until this skirmish has resolved itself. 
EVENT;	9;		(FACTION_1) mining operation invade (SECTOR_1);					Alpha;			Faction;		Faction Mining;			event_mining.png;			FACTION_MINING;		rnd;				rnd;		rnd;										0.10;		Miners of the (FACTION_1) faction have uncovered a pocket of valuable (RESOURCE_1) in the (SECTOR_1) sector. Since no faction can lay claim to these riches, those who arrive with the proper equipment will reap the benefits of this resource anomaly. The (FACTION_1) miners have a decent head start, so you might want to get started if you plan to take advantage of this opportunity.

