// TECHNICAL SPECIFICATION DOCUMENTS;;									
// ITEM;							1 DOC ID;							2 DOC NAME;							3 DOC TYPE;							4 DOC CLASS;						5 DOC SUBCLASS;						6 doc image;						7 DOC SIZE;							8 DOC PRICE;						9 CRAFTS ID;						10 DOC LVL;							11 USE MODE;						12 STACKABLE ITEM;					13 RECIPE (id-qty);					14 QTY;								15 NULL 0;							16 NULL 0;							17 NULL 0;							18 NULL 0;							19 NULL 0;							20 NULL 0;							21 NULL 0;							22 ITEM DESCRIPTION ;;;;;;;									
ITEM;								2100;								Generic Single 20mm Gun (Doc);		Document;							20mm Turret;						GUN;								generic_single_20mm_gun_doc.png;	1;									14400;								1002;								1;									 null;								True;								167-3:153-12:159-2;					1;									 null ; 							 null ; 							 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Generic Single 20mm Gun.
ITEM;								2101;								Kinetics G-series 20mm Gun (Doc);	Document;							20mm Turret;						GUN;								kinetics_g-series_20mm_gun_doc.png;	1.0;								30000;								1008;								2;									 null;								true;								158-13:157-7:161-11;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kinetics G-series 20mm Gun;;									;									;									;									;									;									
ITEM;								2102;								Quantex  x-3 20mm Gun (Doc);		Document;							20mm Turret;						GUN;								quantex__x-3_20mm_gun_doc.png;		1.0;								60000;								1014;								3;									 null;								true;								201-16:164-27:204-6;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Quantex  x-3 20mm Gun;;									;									;									;									;									;									
ITEM;								2103;								Entex IV-series 20mm Gun (Doc);		Document;							20mm Turret;						GUN;								entex_iv-series_20mm_gun_doc.png;	1.0;								120000;								1020;								4;									 null;								true;								209-34:2002-9:217-6;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Entex IV-series 20mm Gun;;									;									;									;									;									;									
ITEM;								2104;								Gunstellar 20mm Gun (Doc);			Document;							20mm Turret;						GUN;								gunstellar_20mm_gun_doc.png;		1.0;								240000;								1026;								5;									 null;								true;								207-39:216-15:2006-7;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Gunstellar 20mm Gun;;									;									;									;									;									;									
ITEM;								2105;								Kith Single 60mm Cannon (Doc);		Document;							60mm Turret;						GUN;								kith_single_60mm_cannon_doc.png;	1.0;								480000;								1004;								6;									 null;								true;								2026-9:2005-19:219-49;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kith Single 60mm Cannon;;									;									;									;									;									;									
ITEM;								2106;								Inovex 60mm Cannon (Doc);			Document;							60mm Turret;						GUN;								inovex_60mm_cannon_doc.png;			1.0;								960000;								1010;								7;									 null;								true;								2006-61:219-99:2012-63;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Inovex 60mm Cannon;;									;									;									;									;									;									
ITEM;								2107;								Acrondia 60mm Howitzer (Doc);		Document;							60mm Turret;						GUN;								acrondia_60mm_howitzer_doc.png;		1.0;								1920000;							1016;								8;									 null;								true;								2034-55:2010-150:2019-18;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Acrondia 60mm Howitzer;;									;									;									;									;									;									
ITEM;								2108;								Vita 60mm Howitzer (Doc);			Document;							60mm Turret;						GUN;								vita_60mm_howitzer_doc.png;			1.0;								3840000;							1022;								9;									 null;								true;								2031-225:2032-78:2081-20;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Vita 60mm Howitzer;;									;									;									;									;									;									
ITEM;								2109;								Oaken 60mm Cannon (Doc);			Document;							60mm Turret;						GUN;								oaken_60mm_cannon_doc.png;			1.0;								7680000;							1028;								10;									 null;								true;								2059-12:2051-65:2038-37;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Oaken 60mm Cannon;;									;									;									;									;									;									
ITEM;								2110;								Generic Dual 20mm Gun (Doc);		Document;							20mm Dual Turret;					GUN;								generic_dual_20mm_gun_doc.png;		1.0;								15600;								1001;								1;									 null;								true;								154-6:155-7:158-3;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Generic Dual 20mm Gun;;									;									;									;									;									;									
ITEM;								2711;								Kinetics G-series Dual 20mm (Doc);	Document;							20mm Dual Turret;					GUN;								kinetics_g-series_dual_20mm_doc.png;1.0;								31200;								1007;								2;									 null;								true;								164-28:154-6:159-5;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kinetics G-series Dual 20mm;;									;									;									;									;									;									
ITEM;								2712;								Quantex  x-2 20mm Gun (Doc);		Document;							20mm Dual Turret;					GUN;								quantex__x-2_20mm_gun_doc.png;		1.0;								62400;								1013;								3;									 null;								true;								161-49:205-5:202-7;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Quantex  x-2 20mm Gun;;									;									;									;									;									;									
ITEM;								2713;								Entex V-series Dual 20mm (Doc);		Document;							20mm Dual Turret;					GUN;								entex_v-series_dual_20mm_doc.png;	1.0;								124800;								1019;								4;									 null;								true;								218-13:2001-10:213-13;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Entex V-series Dual 20mm;;									;									;									;									;									;									
ITEM;								2714;								Gunstellar 20mm Dual Barrel (Doc);	Document;							20mm Dual Turret;					GUN;								gunstellar_20mm_dual_barrel_doc.png;1.0;								249600;								1025;								5;									 null;								true;								201-68:2015-6:2010-19;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Gunstellar 20mm Dual Barrel;;									;									;									;									;									;									
ITEM;								2715;								Kith Dual 60mm Cannon (Doc);		Document;							60mm Dual Turret;					GUN;								kith_dual_60mm_cannon_doc.png;		1.0;								499200;								1005;								6;									 null;								true;								2016-24:2019-4:2025-5;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kith Dual 60mm Cannon;;									;									;									;									;									;									
ITEM;								2716;								Inovex 60mm Dual Cannon (Doc);		Document;							60mm Dual Turret;					GUN;								inovex_60mm_dual_cannon_doc.png;	1.0;								998400;								1011;								7;									 null;								true;								2007-49:2006-31:2016-24;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Inovex 60mm Dual Cannon;;									;									;									;									;									;									
ITEM;								2717;								Acrondia 60mm Dual Howitzer (Doc);	Document;							60mm Dual Turret;					GUN;								acrondia_60mm_dual_howitzer_doc.png;1.0;								1996800;							1017;								8;									 null;								true;								2026-38:2010-156:2044-19;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Acrondia 60mm Dual Howitzer;;									;									;									;									;									;									
ITEM;								2718;								Vita 60mm Dual Howitzer (Doc);		Document;							60mm Dual Turret;					GUN;								vita_60mm_dual_howitzer_doc.png;	1.0;								3993600;							1023;								9;									 null;								true;								2051-67:2040-73:2045-18;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Vita 60mm Dual Howitzer;;									;									;									;									;									;									
ITEM;								2719;								Oaken 60mm Dual Cannon (Doc);		Document;							60mm Dual Turret;					GUN;								oaken_60mm_dual_cannon_doc.png;		1.0;								7987200;							1029;								10;									 null;								true;								2047-45:2043-96:2038-39;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Oaken 60mm Dual Cannon;;									;									;									;									;									;									
ITEM;								2720;								Generic Gatling 20mm Gun (Doc);		Document;							20mm Auto Turret;					GUN;								generic_gatling_20mm_gun_doc.png;	1.0;								13200;								1003;								1;									 null;								true;								167-3:161-5:169-1;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Generic Gatling 20mm Gun;;									;									;									;									;									;									
ITEM;								2721;								Kinetics G-series 20mm Gatling (Doc);Document;							20mm Auto Turret;					GUN;								kinetics_g-series_20mm_gatling_doc.png;1.0;								26400;								1009;								2;									 null;								true;								152-44:159-4:202-3;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kinetics G-series 20mm Gatling;;									;									;									;									;									;									
ITEM;								2722;								Quantex  x-6 20mm Gatling (Doc);	Document;							20mm Auto Turret;					GUN;								quantex__x-6_20mm_gatling_doc.png;	1.0;								52800;								1015;								3;									 null;								true;								205-9:200-8:213-5;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Quantex  x-6 20mm Gatling;;									;									;									;									;									;									
ITEM;								2723;								Entex V-series 20mm Gatling (Doc);	Document;							20mm Auto Turret;					GUN;								entex_v-series_20mm_gatling_doc.png;1.0;								105600;								1021;								4;									 null;								true;								217-11:213-11:206-8;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Entex V-series 20mm Gatling;;									;									;									;									;									;									
ITEM;								2724;								Gunstellar 20mm Gatling (Doc);		Document;							20mm Auto Turret;					GUN;								gunstellar_20mm_gatling_doc.png;	1.0;								211200;								1027;								5;									 null;								true;								209-61:208-15:213-22;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Gunstellar 20mm Gatling;;									;									;									;									;									;									
ITEM;								2725;								Kith Gatling 60mm Cannon (Doc);		Document;							60mm Auto Turret;					GUN;								kith_gatling_60mm_cannon_doc.png;	1.0;								422400;								1006;								6;									 null;								true;								2005-34:2007-10:2014-15;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Kith Gatling 60mm Cannon;;									;									;									;									;									;									
ITEM;								2726;								Inovex 60mm Auto Cannon (Doc);		Document;							60mm Auto Turret;					GUN;								inovex_60mm_auto_cannon_doc.png;	1.0;								844800;								1012;								7;									 null;								true;								2038-8:2022-23:2016-20;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Inovex 60mm Auto Cannon;;									;									;									;									;									;									
ITEM;								2727;								Acrondia 60mm Howitzer Autogun (Doc);Document;							60mm Auto Turret;					GUN;								acrondia_60mm_howitzer_autogun_doc.png;1.0;								1689600;							1018;								8;									 null;								true;								2035-38:2025-17:2028-9;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Acrondia 60mm Howitzer Autogun;;									;									;									;									;									;									
ITEM;								2728;								Vita 60mm Howitzer Autogun (Doc);	Document;							60mm Auto Turret;					GUN;								vita_60mm_howitzer_autogun_doc.png;	1.0;								3379200;							1024;								9;									 null;								true;								2035-76:2081-18:2030-166;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Vita 60mm Howitzer Autogun;;									;									;									;									;									;									
ITEM;								2729;								Oaken 60mm Auto Cannon (Doc);		Document;							60mm Auto Turret;					GUN;								oaken_60mm_auto_cannon_doc.png;		1.0;								6758400;							1030;								10;									 null;								true;								2055-45:2035-76:2058-7;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Oaken 60mm Auto Cannon;;									;									;									;									;									;									
ITEM;								2730;								Rapid x1 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x1_launcher_doc.png;			1.0;								25200;								1050;								1;									 null;								true;								163-14:169-2:161-9;					1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x1 Launcher;;									;									;									;									;									;									
ITEM;								2731;								Rapid x2 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x2_launcher_doc.png;			1.0;								50400;								1055;								2;									 null;								true;								158-23:151-42:202-6;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x2 Launcher;;									;									;									;									;									;									
ITEM;								2132;								Rapid x3 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x3_launcher_doc.png;			1.0;								100800;								1060;								3;									 null;								true;								164-92:160-42:152-85;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x3 Launcher;;									;									;									;									;									;									
ITEM;								2133;								Rapid x4 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x4_launcher_doc.png;			1.0;								201600;								1065;								4;									 null;								true;								202-50:166-27:218-10;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x4 Launcher;;									;									;									;									;									;									
ITEM;								2134;								Rapid x5 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x5_launcher_doc.png;			1.0;								403200;								1070;								5;									 null;								true;								203-87:170-82:200-67;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x5 Launcher;;									;									;									;									;									;									
ITEM;								2135;								Rapid x6 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x6_launcher_doc.png;			1.0;								806400;								1051;								6;									 null;								true;								213-172:2020-46:214-68;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x6 Launcher;;									;									;									;									;									;									
ITEM;								2136;								Rapid x7 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x7_launcher_doc.png;			1.0;								1612800;							1056;								7;									 null;								true;								2038-15:2023-29:2039-4;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x7 Launcher;;									;									;									;									;									;									
ITEM;								2137;								Rapid x8 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x8_launcher_doc.png;			1.0;								3225600;							1061;								8;									 null;								true;								2031-189:2032-65:2039-9;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x8 Launcher;;									;									;									;									;									;									
ITEM;								2138;								Rapid x9 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x9_launcher_doc.png;			1.0;								6451200;							1066;								9;									 null;								true;								2041-202:2022-179:2036-51;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x9 Launcher;;									;									;									;									;									;									
ITEM;								2139;								Rapid x10 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							rapid_x10_launcher_doc.png;			1.0;								12902400;							1071;								10;									 null;								true;								2056-54:2049-25:2045-59;			1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Rapid x10 Launcher;;									;									;									;									;									;									
ITEM;								2140;								Assault x1 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x1_launcher_doc.png;		1.0;								27600;								1052;								1;									 null;								true;								157-13:151-23:165-4;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x1 Launcher;;									;									;									;									;									;									
ITEM;								2141;								Assault x2 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x2_launcher_doc.png;		1.0;								55200;								1057;								2;									 null;								true;								150-100:155-25:200-9;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x2 Launcher;;									;									;									;									;									;									
ITEM;								2142;								Assault x3 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x3_launcher_doc.png;		1.0;								110400;								1062;								3;									 null;								true;								217-12:203-12:163-30;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x3 Launcher;;									;									;									;									;									;									
ITEM;								2143;								Assault x4 Launcher (Doc);			Document;							Missile Launcher;					LAUNCHER;							assault_x4_launcher_doc.png;		1.0;								220800;								1067;								4;									 null;								true;								2005-17:2002-17:211-27;				1;									 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								 null ;								Technical Specifications Document to fabricate Assault x4 Launcher;;									;									;									;									;									;									
