//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		5;		START;		CHECK_VALUE;		0;		MISSION.arrest_escort;		=;		1;		missions_arrest_escort.txt>300>IF TRUE;		missions_arrest_escort.txt>1005>IF FALSE;		null;		null;		null;		1000.00;		-87.00
SCRIPT;		1010;		passive;		OPTION;		0;		Hey there bud. You having any luck with the rocks out here? I've been having a great haul over the past few cycles. How about yourself?;		missions_arrest_escort.txt>1020>Not too bad myself, funny you should mention...;		missions_arrest_escort.txt>1030>Just out here delivering bad news.;		missions_arrest_escort.txt>1040>Don't waste my time, I'm here for the crimes you've commited!;		null;		null;		null;		null;		355.00;		-354.00
SCRIPT;		1100;		neutral;		OPTION;		0;		Hello. What can I do for you?;		missions_arrest_escort.txt>1105>I am here to deliver a warrant, and arrest you.;		missions_arrest_escort.txt>1110>I have been sent to escrot you back to the autorities.;		missions_arrest_escort.txt>1115>You are wanted, Iv'e come for you.;		null;		null;		null;		null;		999.00;		-359.00
SCRIPT;		300;		67182;		TEXT;		0;		I know why you are here. I guess there is no sense in me dragging this out any longer. You have my full cooperation.;		missions_arrest_escort.txt>305>Thank you for your understanding.;		null;		null;		null;		null;		null;		null;		1405.00;		-83.00
SCRIPT;		310;		34366;		CHAT_MISSION_COMPLETE;		586;		null;		null;		null;		null;		null;		null;		null;		null;		1649.00;		-88.00
SCRIPT;		586;		26310;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		1868.00;		-87.00
SCRIPT;		1005;		28871;		GOTO_RANDOM;		0;		Goto Random;		missions_arrest_escort.txt>1010;		missions_arrest_escort.txt>1100;		missions_arrest_escort.txt>1200;		null;		null;		null;		null;		1001.00;		-222.00
SCRIPT;		1200;		aggresssive;		OPTION;		0;		Look buddy, I don't have time to stop for a chat. So how about you take off and let me get back to my business.;		missions_arrest_escort.txt>1210>With that kind of attitude, you are destined for trouble.;		missions_arrest_escort.txt>1250>Cool your thrusters, I mean no harm.;		missions_arrest_escort.txt>1255>Easy man, I'll come back later.;		null;		null;		null;		null;		1651.00;		-354.00
SCRIPT;		1020;		90692;		TEXT;		0;		Let me gather my things and make a few calls before we leave the sector.;		missions_arrest_escort.txt>1022>Thank you, I will follow you.;		null;		null;		null;		null;		null;		null;		114.00;		-475.00
SCRIPT;		1030;		68210;		TEXT;		0;		I thought you might be here for me. I was just about to call my family. I had a weird feeling about today. Mind if I call them really quick, it won't be but a few minutes.;		missions_arrest_escort.txt>1032>Alright, just make it quick.;		null;		null;		null;		null;		null;		null;		355.00;		-478.00
SCRIPT;		1040;		35011;		OPTION;		0;		You think it is easy out here? I promise you I ain't what you think I am. I'm just trying my best to get by on nothing.;		missions_arrest_escort.txt>1048>I'm sorry, Let's try this again...;		missions_arrest_escort.txt>1043>I don't need to hear about your feelings. Let's go!;		null;		null;		null;		null;		null;		582.00;		-496.00
SCRIPT;		1022;		12283;		NPC_RETREAT;		1024;		;		;		null;		null;		null;		null;		null;		null;		114.00;		-591.00
SCRIPT;		1024;		72389;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		113.00;		-704.00
