//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		5;		START;		CHECK_VALUE;		0;		MISSION.debt_wait;		=;		1;		missions_debt_collection.txt>300>IF TRUE;		missions_debt_collection.txt>1005>IF FALSE;		null;		null;		null;		1000.00;		-87.00
SCRIPT;		1010;		passive;		OPTION;		0;		Hey there bud. You having any luck with the rocks out here? I've been having a great haul over the past few cycles. This next haul should put me back in black.;		missions_debt_collection.txt>1020>Not too bad myself, funny you should mention...;		missions_debt_collection.txt>1030>Just making my rounds, collecting debts.;		missions_debt_collection.txt>1040>Don't waste my time, I'm here for the Credits you owe!;		null;		null;		null;		null;		355.00;		-354.00
SCRIPT;		1100;		neutral;		OPTION;		0;		How can I help you?;		missions_debt_collection.txt>1105>I am here to collect a debt you owe.;		missions_debt_collection.txt>1110>I have been sent to remind you about a late payment.;		missions_debt_collection.txt>1115>You owe a debt, It's time to pay up!;		null;		null;		null;		null;		999.00;		-359.00
SCRIPT;		300;		67182;		TEXT;		0;		I know why you are here. I guess there is no sense in me dragging this out any longer. Take your payment and be gone already.;		missions_debt_collection.txt>310>Thank you for your cooperation.;		null;		null;		null;		null;		null;		null;		1405.00;		-83.00
SCRIPT;		310;		34366;		CHAT_MISSION_COMPLETE;		586;		null;		null;		null;		null;		null;		null;		null;		null;		1649.00;		-88.00
SCRIPT;		586;		26310;		EXIT;		0;		null;		null;		null;		null;		null;		null;		null;		null;		1868.00;		-87.00
SCRIPT;		1005;		28871;		GOTO_RANDOM;		0;		Goto Random;		missions_debt_collection.txt>1010;		missions_debt_collection.txt>1100;		missions_debt_collection.txt>1200;		null;		null;		null;		null;		1001.00;		-222.00
SCRIPT;		1200;		aggresssive;		OPTION;		0;		Look buddy, I don't have time to stop for a chat. So how about you take off and let me get back to my business.;		missions_debt_collection.txt>1210>With that kind of attitude, you are destined for trouble.;		missions_debt_collection.txt>1250>Cool your thrusters, I mean no harm.;		missions_debt_collection.txt>1255>Easy man, I'll come back later.;		null;		null;		null;		null;		1651.00;		-354.00
SCRIPT;		1020;		90692;		TEXT;		0;		I thought you might be a debt collector. Lucky for both of us, this last haul here should put me over the top. Let me drop this ore off at the station and I will be right back with your payment.;		missions_debt_collection.txt>1022>Thank you, I will follow you there.;		null;		null;		null;		null;		null;		null;		114.00;		-475.00
SCRIPT;		1030;		68210;		TEXT;		0;		I thought you might be here for me. I don't have the full amount just yet. I will dock at the station in a few moments and sell some of this ore at the market. Stick around for a few minutes and I should have enough to make a payment.;		missions_debt_collection.txt>1032>Alright, just make it quick.;		null;		null;		null;		null;		null;		null;		355.00;		-478.00
SCRIPT;		1040;		35011;		OPTION;		0;		Alright buddy, no need to be a jerk about it. I am out here all the time busting my hump trying to make enough scratch to make a payment. The last thing I need is you giving me an attitude while I work.;		missions_debt_collection.txt>1042>I'm sorry, Let's try this again...;		missions_debt_collection.txt>1043>I don't need to hear about your feelings. Pay or else!;		null;		null;		null;		null;		null;		591.00;		-478.00
SCRIPT;		1022;		12283;		NPC_RETREAT;		1024;		;		;		null;		null;		null;		null;		null;		null;		114.00;		-591.00
SCRIPT;		1024;		72389;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		113.00;		-704.00
SCRIPT;		500;		51346;		SET_VALUE;		510;		MISSION.debt_wait;		1;		null;		null;		null;		null;		null;		null;		366.00;		-1049.00
SCRIPT;		1032;		51976;		NPC_CHAT;		500;		Text message;		20;		null;		null;		null;		null;		null;		null;		353.62;		-610.28
