//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_2.png;		accessory_18.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Ratamaq Guru;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		Welcome to Astrox new friend! I know you are still a bit disoriented, but that will pass. I have been assigned to help you learn some of the [yellow]CAMERA[/] basics. [n][n]You can always find me at any of the stations here in Void Starcross. [lime]DRAG[/] this window around, if you need to. I recommend you leave it open as I help you along.;		tutorial_camera_basics.txt>100>Okay, teach me the basics.;		tutorial_camera_basics.txt>200>Maybe some other time.;		;		null;		null;		null;		null;		411.89;		-222.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (1 of 8)[/][/s][n]The [yellow]CAMERA[/] is attached to a small remote drone that flies closely to your ship. You can adjust the distance, rotation and position of the [yellow]CAMERA[/] using your [lime]MOUSE[/].[r]Let's take a moment to go over the various [yellow]CAMERA[/] operations. It is important that you understand the basic of the [yellow]CAMERA[/] as it acts as your eyes to the Astrox universe.;		tutorial_camera_basics.txt>10>BACK;		tutorial_camera_basics.txt>110>NEXT;		;		null;		null;		null;		null;		417.00;		-305.00
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting if you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_camera_basics.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		645.00;		-220.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (2 of 8)[/][/s][n]Let's start with moving the [yellow]CAMERA[/] around. This will allow you to view your ship, and the immediate area around your ship from any angle.[r]To do this, you will need to hold [lime]RIGHT CLICK[/] with the [lime]MOUSE[/], while [lime]MOVING[/] the [lime]MOUSE[/] around. This will rotate the drone [yellow]CAMERA[/] around your ship.;		tutorial_camera_basics.txt>100>BACK;		tutorial_camera_basics.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-399.00
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (3 of 8)[/][/s][n]Now that you understand how to move the [yellow]CAMERA[/] around, let's continue.[r]To [lime]ZOOM[/] the [yellow]CAMERA[/], use the [lime]MOUSE WHEEL[/]. Rolling the [lime]MOUSE WHEEL[/] forward will [lime]ZOOM[/] the [yellow]CAMERA[/] in closer. Pulling the [lime]MOUSE WHEEL[/] back will move the [yellow]CAMERA[/] away from your ship.;		tutorial_camera_basics.txt>110>BACK;		tutorial_camera_basics.txt>130>NEXT;		;		null;		null;		null;		null;		418.00;		-490.00
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (4 of 8)[/][/s][n]If you [lime]ZOOM[/] the [yellow]CAMERA[/] all the way in while flying in space, the [yellow]CAMERA[/] will sit itself right into the cockpit view of the ship. This will give you a first person view.[r]If you [lime]ZOOM[/] the [yellow]CAMERA[/] all the way out while in space, the [yellow]GALAXY MAP[/] will come into view. The [yellow]GALAXY MAP[/] will show you where you are currently located in the Astrox universe.;		tutorial_camera_basics.txt>120>BACK;		tutorial_camera_basics.txt>140>NEXT;		;		null;		null;		null;		null;		418.00;		-578.00
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (5 of 8)[/][/s][n]The [yellow]CAMERA[/] will always follow your ship, unless of course you focus on another member of your fleet. We won't get into that just yet.[r]If for any reason you find your [yellow]CAMERA[/] focused on something other than your ship, you can reset the [yellow]CAMERA[/] by pressing the [lime]MOUSE WHEEL BUTTON[/]. Just press down on the [lime]MOUSE WHEEL[/] and [lime]CLICK[/] it just like a normal button.;		tutorial_camera_basics.txt>130>BACK;		tutorial_camera_basics.txt>150>NEXT;		;		null;		null;		null;		null;		418.00;		-669.00
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (6 of 8)[/][/s][n]When your ship is docked inside the station, the [yellow]CAMERA[/] will function a little bit differently. You will not be able to [lime]ZOOM[/] into pilot view.[r]The [yellow]CAMERA[/] will also be limited in the distance that is can [lime]ZOOM[/] out.;		tutorial_camera_basics.txt>140>BACK;		tutorial_camera_basics.txt>160>NEXT;		;		null;		null;		null;		null;		418.00;		-761.00
SCRIPT;		160;		18697;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (7 of 8)[/][/s][n]The [yellow]CAMERA[/] will automatically follow your ship as you fly around in space. If you use the [lime]WASD[/] or the [lime]LEFT MOUSE[/] to fly the ship, the [yellow]CAMERA[/] will automatically follow behind the ship looking forward in the direction you are facing.[r]Moving the [yellow]CAMERA[/] with the [lime]MOUSE[/] will override the automatic follow behind.;		tutorial_camera_basics.txt>150>BACK;		tutorial_camera_basics.txt>170>NEXT;		;		null;		null;		null;		null;		417.00;		-849.00
SCRIPT;		170;		38071;		OPTION;		0;		[s2][cyan]Basic Camera Tutorial (8 of 8)[/][/s][n]Well done! You have completed the basic camera tutorial. It is very important that you understand how to use the [yellow]CAMERA[/] drone. It could be the difference between survival or death.[r]I hope you found this short tutorial informative. Remember, you can always come back for a refresher anytime. ;		tutorial_camera_basics.txt>170>BACK;		tutorial_camera_basics.txt>0>Thank you.;		;		null;		null;		null;		null;		420.00;		-931.00
