//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_4.png;		accessory_17.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Daniel Traek;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		If you are ready to learn about some drones, you've come to the right man. My name is Daniel, and I will be walking you through the basics of drone operation. There really isn't much to it, but there are a few things you might want to know.[n][n]So what do ya say, are you ready to learn?;		tutorial_drones.txt>100>Okay, teach me the basics.;		tutorial_drones.txt>200>Maybe some other time.;		;		null;		null;		null;		null;		411.00;		-219.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (1 of 8)[/][/s][n]Before we get started, let's go ahead and [yellow]UNDOCK[/] from the station. You will find a button for that on the right hand side of the station under [yellow]STATION SERVICES[/].[n][n]If you are already undocked, go ahead and proceed to the next step.;		tutorial_drones.txt>10>BACK;		tutorial_drones.txt>110>NEXT;		;		null;		null;		null;		null;		417.00;		-305.00
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting when you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_drones.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		645.00;		-220.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (2 of 8)[/][/s][n]Now that we are outside of the station, let's take a look at the drone command panel. First, open the [yellow]COMMAND PANEL[/] by pressing the [lime]F KEY[/]. Once the panel is open in the lower right, select the [lime]DRONES[/] tab by clicking on it.[n][n]The [yellow]DRONES[/] panel will show you a list of all of the currently active drones your ship can control. To have a drone listed in this panel, you will need to unpack it from your ship's  [yellow]CARGO BAY[/] into the [yellow]DRONE BAY[/]. To do this, just [lime]DOUBLE CLICK[/] this drone in your [yellow]CARGO BAY[/]. If your ship or skills allow for the use of a drone, it will pop out into space, and be visible on the [yellow]DRONE BAY[/].;		tutorial_drones.txt>100>BACK;		tutorial_drones.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-399.00
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (3 of 8)[/][/s][n]If you are able to use an additional drone, you should now see that drone listed in the [yellow]DRONE PANEL[/]. This panel will provide you the interface in which you can control the drone's behavior.[n][n]Before you can use the drone, it must be selected from the drone bay. You can do this by [lime]CLICKING THE DRONE[/] in the [yellow]DRONE PANEL[/]. This is how drones are selected and deselected from the command queue.[n][n]Your ship and skills will control how many, if any, drones you can control. Drones will require energy, and when they run low on battery power, they will return to your ship to recharge. This recharging will use some of the ship's energy, so it is important that your ship has enough juice to keep those drones operational.;		tutorial_drones.txt>110>BACK;		tutorial_drones.txt>130>NEXT;		;		null;		null;		null;		null;		418.00;		-490.00
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (4 of 8)[/][/s][n]Once you have at least 1 drone selected, you will be able to send particular commands to the selected drones. The main command you will use the most is, [lime]ENGAGE TARGET[/]. This command will send the selected drones to whatever target your ship's computer has locked on.[n][n]If you have a list of targets, and the [lime]AUTO TARGET[/] options is enabled, your drones will move from target to target along with the ship.;		tutorial_drones.txt>120>BACK;		tutorial_drones.txt>140>NEXT;		;		null;		null;		null;		null;		418.00;		-578.00
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (5 of 8)[/][/s][n]The range of your drones will depend of the size and quality of each individual drone. Some drones are small, and have a short range before the command link becomes weak. If this happens, the drone icon will be displayed as [orange]ORANGE[/] to indicate it is out of range.[n][n]The range of a drone will also affect how close it has to be to a target before it can perform its task. Combat drones and mining drones can operate at a greater distance away from the target. The Leech and Burglar drones will make contact with the target before their actions can be performed. [n][n]The various types of drones can allow for a very diverse ship.;		tutorial_drones.txt>130>BACK;		tutorial_drones.txt>150>NEXT;		;		null;		null;		null;		null;		418.00;		-669.00
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (6 of 8)[/][/s][n]Become familiar with the drone command bar. This is the row of buttons that allow for quick clicks and easy control of the drones. [lime]MOUSE OVER[/] each button for a short description of what command will be issued to the selected drones.[n][n]Each drone has a [lime]HEALTH[/] bar and an [yellow]ENERGY[/] bar. There is also a small display to show what current action the drone is engaged in. If the Health reaches zero, the drone will be destroyed and lost forever. If the energy is depleted, the drone will crawl back to the ship, and wait for rescue and recharge.[n][n]Some drones will deliver cargo to your ship's [lime]CARGO BAY[/]. Other drones will take cargo from your ship's [yellow]CARGO BAY[/] and use them to perform their task. ;		tutorial_drones.txt>140>BACK;		tutorial_drones.txt>160>NEXT;		;		null;		null;		null;		null;		418.00;		-761.00
SCRIPT;		160;		18697;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (7 of 8)[/][/s][n]Training your [yellow]DRONE SKILLS[/] will greatly increase their overall performance. The [magenta]DRONE COMMAND[/] skill is probably the most important skill you can max out. This skill will allow your pilot to control one additional drone per level. [n][n]The [magenta]DRONE OPERATION[/] skill will allow your pilot to control bigger and better drones. Each level of this skill will open up that level of drone. Level 3 in [magenta]DRONE OPERATION[/] will allow your pilot to use levels 3, 2 and 1 drones.;		tutorial_drones.txt>150>BACK;		tutorial_drones.txt>170>NEXT;		;		null;		null;		null;		null;		417.00;		-849.00
SCRIPT;		170;		38071;		OPTION;		0;		[s2][cyan]Basic Drones Tutorial (8 of 8)[/][/s][n]You can use the ship's onboard [yellow]TACTICAL SENSORS[/] [lime](SPACEBAR Key)[/] to easily see what drones have been selected and which drones are out of range. [n][n]All Drones that have been launched from the [yellow]DRONE BAY[/] will appear as white triangles. Once selected, they will appear [lime]green[/]. If they are out of range, they will shift to an [orange]orange[/] colored triangle.[n][n]This concludes my Basic Drones Tutorial. I hope you learned something that might keep you alive out there. Be safe, and good luck.;		tutorial_drones.txt>160>BACK;		tutorial_drones.txt>180>Thank you.;		;		null;		null;		null;		null;		420.00;		-931.00
SCRIPT;		180;		10478;		GET_DOCUMENT;		0;		I have added a document to your Journal with all of this information. You can access this document any time you need to review this information. Just open up your [yellow]Pilot's Journal[/] and you will find it under DOCUMENTS. Anyway, you take care out there. Stay safe.;		doc_tutorial_drones_1.txt;		tutorial_drones.txt>0>Thank you.;		null;		null;		null;		null;		null;		652.68;		-923.10
