//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_4.png;		accessory_19.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Carter Burke;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		Well look who it is... I was wondering how long it would be before you came looking for my help. I have been training Newgees for quite some time now. I have to admit, I was very surprised to hear that we had found another one.[r]It has been quite a long time since we've recovered a cryo-pod. Anyway, Let's get to it, are you ready to begin your [yellow]LIFE SUPPORT[/] training?;		tutorial_life_support.txt>100>Yes, let's get started.;		tutorial_life_support.txt>200>Maybe later.;		;		null;		null;		null;		null;		407.13;		-230.34
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (1 of 8)[/][/s][n]Every ship has a standard [yellow]LIFE SUPPORT[/] system. This system is extremely important and you must keep an eye on it while traveling through space.[r]Every sector on the map has various factors that affect the local environment. There are 4 main areas you will need to maintain if you want to survive out there. Once your ship's hull takes damage, your [yellow]LIFE SUPPORT[/] will kick on to help keep you alive until you can make it to a station for repairs.;		tutorial_life_support.txt>10>BACK;		tutorial_life_support.txt>110>NEXT;		;		null;		null;		null;		null;		586.38;		-228.72
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting if you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_life_support.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		173.00;		-226.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (2 of 8)[/][/s][n]Let's take a look at your current [yellow]LIFE SUPPORT[/] system. There are two ways you can access your ship's [yellow]LIFE SUPPORT[/].[r]Press the [lime](K key)[/] on the keyboard... or you can open up the ship's [yellow]STATS PANEL[/] from the bottom left, and click the [lime]LIFE SUPPORT[/] button. ;		tutorial_life_support.txt>100>BACK;		tutorial_life_support.txt>120>NEXT;		;		null;		null;		null;		null;		759.34;		-228.91
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (3 of 8)[/][/s][n]Now that you have the [yellow]LIFE SUPPORT[/] panel open, let's take a look at the 4 main areas you will need to maintain.[r][lime]FOOD, WATER, THERMAL[/] and [lime]WASTE[/] are the factors you will need to manage when flying around out there in space. I will cover each one of these so that you better understand how they work.;		tutorial_life_support.txt>110>BACK;		tutorial_life_support.txt>130>NEXT;		;		null;		null;		null;		null;		928.67;		-229.48
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (4 of 8)[/][/s][n]The first and most important is [lime]FOOD[/]. Without food on board, you will find it very difficult to stay out in space for very long before you will need to dock for something to eat.[r]By installing a food product from the [yellow]STATION MARKET[/] into your food synthesizer, Your ship's [yellow]LIFE SUPPORT[/] system will replicate that item anytime you get hungry.  There are lots of different food items, and some are better than others. These items are called [yellow]SUPPORT[/] items, and you can find them under the support tab of any [yellow]STATION MARKET[/].;		tutorial_life_support.txt>120>BACK;		tutorial_life_support.txt>140>NEXT;		;		null;		null;		null;		null;		930.39;		-327.69
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (5 of 8)[/][/s][n]Water is also a very important part of your [yellow]LIFE SUPPORT[/] system. Similar to food, your [lime]WATER[/] collection and filtration systems will provide you with clean drinking water. [lime]WATER[/] is greatly affected by temperature, and if things get too hot or cold, your water will become an issue, thus limiting your exploration range.[r]By installing a [lime]WATER[/] support item into your [yellow]LIFE SUPPORT[/], you extend the range of your ship.;		tutorial_life_support.txt>130>BACK;		tutorial_life_support.txt>150>NEXT;		;		null;		null;		null;		null;		759.42;		-324.50
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Basic Life Support Tutorial (6 of 8)[/][/s][n]It’s cold in space, and you need to keep warm. By upgrading and improving your [lime]THERMAL[/] systems, your ship will provide the adequate warmth (or cold) needed to maintain a comfortable temperature on board. The further away from a star you are, the colder things get. [r]Extreme temperatures can affect your ship. If you travel too far away from a star, and your thermal systems cannot keep the ship warm enough, you will suffer from malfunctioning equipment, thus limiting your exploration.;		tutorial_life_support.txt>140>BACK;		tutorial_life_support.txt>160>NEXT;		;		null;		null;		null;		null;		585.63;		-324.65
