// ACTIVE MODULES ;					---------;							---------;							---------;					---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							---------;							;									;									;									;									;									
//0;								1 ITEM ID;							2 ITEM NAME;						3 ITEM TYPE;				4 ITEM CLASS;						5 SUB CLASS;						6 icon image;						7 BASE SIZE;						8 BASE PRICE;						9 PREFAB ID;						10 ITEM LEVEL;						11 AMMO PREFAB ID;					12 STACKABLE ITEM;					13 CYCLE RATE;						14 TURN SPEED;						15 MAX RANGE;						16 MOBLITY RANGE;					17 PROJECTILE SPEED;				18 ENERGY USAGE;					19 DURABILITY POINTS;				20 BASE DAMAGE;						21 SPECIAL ABILITIES;				22 ITEM DESCRIPTION;				;									;									;									;									;									
MODULE;								1002;								Generic Single 20mm Gun;			Active Module;				20mm Turret;						GUN;								gun_2.png;							10;									1200;								1;									1;									1;									true;								3.0;								50;									1300;								-30.0/45.0/-80.0/80.0;				900;								2.00;								2000;								5;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;				
MODULE;								1008;								Kinetics G-series 20mm Gun;			Active Module;				20mm Turret;						GUN;								gun_2.png;							15;									2500;								1;									2;									1;									true;								3.25;								50;									1310;								-30.0/45.0/-80.0/80.0;				900;								2.25;								2000;								10;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;
MODULE;								1014;								Quantex  x-3 20mm Gun;				Active Module;				20mm Turret;						GUN;								gun_2.png;							25;									5000;								1;									3;									1;									true;								3.5;								50;									1320;								-30.0/45.0/-80.0/80.0;				900;								2.50;								2000;								17;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;
MODULE;								1020;								Entex IV-series 20mm Gun;			Active Module;				20mm Turret;						GUN;								gun_2.png;							40;									10000;								1;									4;									1;									true;								3.75;								50;									1330;								-30.0/45.0/-80.0/80.0;				900;								2.75;								2000;								28;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;
MODULE;								1026;								Gunstellar 20mm Gun;				Active Module;				20mm Turret;						GUN;								gun_2.png;							60;									20000;								1;									5;									1;									true;								4.0;								50;									1340;								-30.0/45.0/-80.0/80.0;				900;								3.00;								2000;								40;									0,0,0,0,0;							20mm single barrel, capable of firing 1 high velocity round. This 20mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 20mm ammo.;;;;;;
MODULE;								1004;								Kith Single 60mm Cannon;			Active Module;				60mm Turret;						GUN;								gun_4.png;							85;									40000;								3;									6;									2;									true;								4.25;								50;									2600;								-30.0/45.0/-80.0/80.0;				800;								3.25;								2000;								55;									0,0,0,0,0;							60mm single barrel, capable of firing 1 high velocity round. This 60mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 60mm ammo.;;;;;;
MODULE;								1010;								Inovex 60mm Cannon;					Active Module;				60mm Turret;						GUN;								gun_4.png;							115;								80000;								3;									7;									2;									true;								4.5;								50;									2650;								-30.0/45.0/-80.0/80.0;				800;								3.50;								2000;								73;									0,0,0,0,0;							60mm single barrel, capable of firing 1 high velocity round. This 60mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 60mm ammo.;;;;;;
MODULE;								1016;								Acrondia 60mm Howitzer;				Active Module;				60mm Turret;						GUN;								gun_4.png;							150;								160000;								3;									8;									2;									true;								4.75;								50;									2700;								-30.0/45.0/-80.0/80.0;				800;								3.75;								2000;								92;									0,0,0,0,0;							60mm single barrel, capable of firing 1 high velocity round. This 60mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 60mm ammo.;;;;;;
MODULE;								1022;								Vita 60mm Howitzer;					Active Module;				60mm Turret;						GUN;								gun_4.png;							140;								320000;								3;									9;									2;									true;								5.0;								50;									2750;								-30.0/45.0/-80.0/80.0;				800;								4.00;								2000;								115;								0,0,0,0,0;							60mm single barrel, capable of firing 1 high velocity round. This 60mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 60mm ammo.;;;;;;
MODULE;								1028;								Oaken 60mm Cannon;					Active Module;				60mm Turret;						GUN;								gun_4.png;							195;								640000;								3;									10;									2;									true;								5.25;								50;									2800;								-30.0/45.0/-80.0/80.0;				800;								4.25;								2000;								135;								0,0,0,0,0;							60mm single barrel, capable of firing 1 high velocity round. This 60mm Projectile gun is good for medium ranged combat against high speed ships. Requires 1 x 60mm ammo.;;;;;;

