 ------------- PRESETS --------------
PRESET_desc;These are the default settings for the sandbox in case you need to reset everything.

 ------------- SANDBOX -------------- 
SANDBOX_gamemode_lifesupport_mode;1
SANDBOX_galaxy_number_of_sectors;20
SANDBOX_galaxy_sector_layout;0
SANDBOX_galaxy_show_unexplored;0
SANDBOX_galaxy_allow_warpdrive;0
SANDBOX_galaxy_sector_environment;0
SANDBOX_galaxy_sector_security;0
SANDBOX_resource_spawn_frequency;2.0
SANDBOX_resource_spawn_rarity;0.8
SANDBOX_resource_spawn_value;1.75
SANDBOX_resource_cluster_value;0.5
SANDBOX_resource_respawn;0
SANDBOX_resource_harvest_rate;5.5
SANDBOX_resource_harvest_ratio;1
SANDBOX_economy_market_frequency;4
SANDBOX_economy_shipyard_frequency;4
SANDBOX_economy_buy_item_mod;0.5
SANDBOX_economy_sell_item_mod;0.5
SANDBOX_economy_buy_order_profit;0.15
SANDBOX_economy_sell_order_profit;0.5
SANDBOX_economy_buy_ship_mod;0.5
SANDBOX_economy_base_tax;0.02
SANDBOX_economy_event_frequency;2
SANDBOX_missions_generation_rate;1
SANDBOX_missions_payment_mod;3.75
SANDBOX_missions_bonus_value;0.005
SANDBOX_missions_bonus_size;0.05
SANDBOX_missions_faction_penalty;0.005
SANDBOX_missions_payment_penalty;0.05
SANDBOX_missions_deposit_req;0.1
SANDBOX_missions_available;0.2
SANDBOX_npc_speed;1
SANDBOX_npc_attack;1
SANDBOX_npc_intelligence;1
SANDBOX_npc_law;1
SANDBOX_npc_fdrop_shot;0.025
SANDBOX_npc_fdrop_kill;0.25
SANDBOX_npc_take_dmg;1
SANDBOX_npc_crate_drop;0.8
SANDBOX_merc_level_progression;1.618
SANDBOX_merc_payroll_rate;1
SANDBOX_merc_loyalty_drain;0.5
SANDBOX_merc_loyalty_bonus;0.5
SANDBOX_merc_faction_hire_modifier;0.025
SANDBOX_merc_takedmg_modifier;0.25
SANDBOX_merc_death_faction_penalty;1
SANDBOX_raider_spawn_timer;2400
SANDBOX_raider_speed;1
SANDBOX_raider_attack;0.5
SANDBOX_raider_defense;0.5
SANDBOX_raider_takedmg_modifier;5.0
SANDBOX_station_frequency;3
SANDBOX_station_level;1
SANDBOX_station_refinery_speed;4
SANDBOX_station_fabricator_speed;4
SANDBOX_station_university_speed;2
SANDBOX_repair_armor_modfier;0.5
SANDBOX_repair_module_modfier;0.5
SANDBOX_storage_lease_space;25
SANDBOX_storage_lease_cost;1
SANDBOX_dock_fee_modifier;0.5
SANDBOX_ship_lifesupport_drain;1
SANDBOX_ship_afterburner_drain;17
SANDBOX_ship_shield_recharge;2.1
SANDBOX_ship_energy_recharge;1.25
SANDBOX_ship_critical_hit;5
SANDBOX_ship_critical_chance;2
SANDBOX_ship_module_damage;1
SANDBOX_ship_takedmg_modifier;1.0
SANDBOX_events_economic;1
SANDBOX_events_political;1
SANDBOX_events_research;1
SANDBOX_events_raider;1
SANDBOX_events_environment;1
SANDBOX_events_security;1
SANDBOX_events_social;1
SANDBOX_events_faction;1
SANDBOX_extras_game_speed;1
SANDBOX_extras_death_penalty;0
SANDBOX_extras_ship_slow;250
SANDBOX_extras_interior_speed;1
SANDBOX_extras_turret_accuracy;1
SANDBOX_extras_star_recharge;1
SANDBOX_skybox_layer_frequency;3
SANDBOX_skybox_color_variation;3
SANDBOX_skybox_fog_frequency;3
SANDBOX_skybox_prop_frequency;2
SANDBOX_warpgates_links;1
SANDBOX_warpgates_toll_frequency;2
SANDBOX_warpgates_toll_modifier;1
SANDBOX_warpgates_locked_frequency;2
SANDBOX_warpgates_key_frequency;2
SANDBOX_warpgates_key_modifier;1
SANDBOX_pilot_gender;1
SANDBOX_pilot_face;0
SANDBOX_pilot_accessory;0
SANDBOX_pilot_faction;0
SANDBOX_pilot_profession;0
SANDBOX_pilot_gamemode;3
SANDBOX_pilot_name;NewPilot
SANDBOX_pilot_face_image_filename;male_1.png

SANDBOX_pilot_startship_id;16
SANDBOX_pilot_startship_name;ship_data_(excavation_escort_1_startship)
SANDBOX_pilot_start_credits;8000
SANDBOX_pilot_start_skillpoints;5
SANDBOX_pilot_start_lvl;1
SANDBOX_pilot_start_xp;100
SANDBOX_pilot_start_cargo;
SANDBOX_pilot_start_skills;
