//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		10;		START;		TEXT;		0;		I guess I have a few minutes to chat. Are you looking for some Information?;		structure_recon_1.txt>20>Can you tell me anything about the Imperium?;		null;		null;		null;		null;		null;		null;		193.90;		-116.77
SCRIPT;		20;		35828;		OPTION;		0;		I guess I can tell you what little I know. Everyone has their own theory about what happened. There are even a few drinking games based on the most popular ones.[n][n] I have heard a few interesting stories when I was a kid. My uncle would tell me all about the records they would find on salvage trips.I really can't remember half of what He said, but I remember laying awake at night, thinking about what really happened.;		structure_recon_1.txt>30>Tell me one you do remember.;		structure_recon_1.txt>40>Do you think anyone knows the whole truth?;		structure_recon_1.txt>50>I learned the basics at the welcome center.;		null;		null;		null;		null;		589.63;		-317.98
SCRIPT;		50;		52265;		TEXT;		0;		Yeah, what has officially been released to the public is generally accepted as the truth around here.[n][n]I guess I better get back to work. Good chat.;		structure_recon_1.txt>0>See ya around.;		null;		null;		null;		null;		null;		null;		596.35;		-950.16
SCRIPT;		30;		17738;		OPTION;		0;		Oh my. I barely even think about that stuff anymore. I would have to ask my uncle again, and He's not around anymore.;		structure_recon_1.txt>50>Ah, that's cool. Maybe next time.;		structure_recon_1.txt>60>How did he die?;		structure_recon_1.txt>70>Really? You remember nothing at all?;		null;		null;		null;		null;		971.96;		-195.58
SCRIPT;		60;		72659;		TEXT;		0;		He didn't die exactly. Well, not as far as anyone knows. He just kind of disappeared one day. He left for a salvage job, dropped off a payload, and that was it. No one ever saw him again. A few of his contractors came looking for him when he stopped bidding on new jobs, but that was it. He vanished.;		structure_recon_1.txt>62>Maybe He found something better out there.;		null;		null;		null;		null;		null;		null;		976.99;		-492.39
SCRIPT;		40;		81806;		TEXT;		0;		My uncle knew a lot about the imperium. He was part of a special salvage crew that would breach the deadspace barrier in search of artifacts and relics of the imperium ship. He was always pretty quiet about what he found out there, as per his contract.;		structure_recon_1.txt>42>What is 'Deadspace' exactly?;		null;		null;		null;		null;		null;		null;		400.16;		-492.38
SCRIPT;		42;		70313;		TEXT;		0;		Deadspace is the dangerous void you find if you travel too far from the center of the sector beacon. Each sector has an established gravitational field. It keeps the electromagnetic radiation from the void at bay. If you stray too far, you might find yourself on a one way trip to 'Never seen again' land. I have never been out there myself, but I have heard stories.;		structure_recon_1.txt>44>Tell me more about the deadspace.;		null;		null;		null;		null;		null;		null;		403.51;		-581.26
SCRIPT;		44;		73381;		TEXT;		0;		My uncle told me once, He ran into a younger version of himself out there. Same ship, same clothes. He was just younger. [n][n]Granted, He had been without food or water for almost a week before a missionary caravan happened to pick up his distress beacon. This was long before we had the fancy food synths and purifiers we have now. Anyway, you have to take it with a grain of salt. An ex blisshead suffering from starvation and delirium? who knows what he saw.;		structure_recon_1.txt>46>That would be crazy if it were true.;		null;		null;		null;		null;		null;		null;		401.83;		-666.78
SCRIPT;		46;		15601;		TEXT;		0;		Yeah, I would have to agree.  He kinda changed after that. I onced asked him if he spoke to his younger self. He replied, 'I warned him.' He never told me of what,  I suspected it was important by the grin he had on his face at the time. My uncle was something else.;		structure_recon_1.txt>48>So he never shared any info about the imperium?;		null;		null;		null;		null;		null;		null;		401.83;		-753.97
SCRIPT;		48;		86758;		TEXT;		0;		No. He kept that stuff to himself mostly. I wish I could remember some of his old stories. They would make me laugh. I do remember that at least.;		structure_recon_1.txt>50>Oh well, I will keep asking around.;		null;		null;		null;		null;		null;		null;		403.51;		-836.14
SCRIPT;		62;		93478;		TEXT;		0;		He wouldn't be the first person to up and vanish in the void. You know, they say there are wormholes out there that can make you rich overnight. Just be careful you don't get yourself stuck on the wrong side.;		structure_recon_1.txt>64>Yeah, that would suck. 'I am rich!, I am lost!';		null;		null;		null;		null;		null;		null;		980.35;		-581.26
SCRIPT;		64;		39293;		TEXT;		0;		My family used to joke about how He would just show up as his younger self one day, like nothing ever happened. We would laugh and imagine what craziness He had himself in. After a few years, the jokes just weren't funny anymore.;		structure_recon_1.txt>66>I can understand that.;		null;		null;		null;		null;		null;		null;		975.32;		-678.52
SCRIPT;		66;		42948;		TEXT;		0;		Well, thanks for the trip down memroy lane. It was nice chatting with you. I better get back to work.;		structure_recon_1.txt>0>Get to it.;		null;		null;		null;		null;		null;		null;		977.00;		-764.04
SCRIPT;		70;		42610;		TEXT;		0;		Sorry, I don't. I better get back to work.;		structure_recon_1.txt>0>Okay, thanks.;		null;		null;		null;		null;		null;		null;		1248.65;		-190.55
SCRIPT;		100;	52610;		TEXT;		0;		Wow, you really jammed in here to get my attention. I better get back to work.;		structure_recon_1.txt>0>Okay, thanks.;		null;		null;		null;		null;		null;		null;		1148.65;		-190.55
