//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		3;		male_10.png;		accessory_10.png;		null;		null;		null;		null;		null;		null;		117.00;		-112.00
SCRIPT;		3;		16545;		UI_NAME;		4;		Derius Gin;		null;		null;		null;		null;		null;		null;		null;		299.00;		-112.00
SCRIPT;		4;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		475.00;		-111.00
SCRIPT;		15;		58875;		OPTION;		0;		Hey there, we're glad to see you're finally up and about. You've been sleeping for quite some time. Might I suggest you take things easy until you feel comfortable with some instruction. [r]This is the Welcome Center, It was created for new refugees like you, though it hasn't been used in some time. Feel free to wander about, there are a few exhibits that you may find informative. ;		structure_welcome_center.txt>20>Sounds good, Let me explore.;		structure_welcome_center.txt>110>Let's get on with it.;		;		null;		null;		null;		null;		303.00;		-370.00
SCRIPT;		20;		63333;		TEXT;		0;		Alright, I'll be right here if you need me. Come back and see me again once you better understand your situation.;		structure_welcome_center.txt>40>Okay.;		null;		null;		null;		null;		null;		null;		168.00;		-502.00
SCRIPT;		40;		96501;		SET_VALUE;		45;		welcome_center;		1;		null;		null;		null;		null;		null;		null;		306.00;		-620.00
SCRIPT;		10;		47289;		CHECK_VALUE;		0;		welcome_center;		+;		0;		structure_welcome_center.txt>11>IF TRUE;		structure_welcome_center.txt>15>IF FALSE;		null;		null;		null;		300.00;		-241.00
SCRIPT;		12;		64802;		OPTION;		0;		Well, I am sure you now understand what this place is for. Every once in awhile, a Newgee will lose their mind and everyone usually requires a bit of time to adjust. [r]We can't just hand you the keys to a proton powered starship with a fully charged energy core without knowing you are going to be okay out there behind the stick.;		structure_welcome_center.txt>0>Yeah, Not ready yet.;		structure_welcome_center.txt>110>Yeah, I can see that. So now what?;		structure_welcome_center.txt>120>Sounds crazy, does that really happen?;		null;		null;		null;		null;		859.00;		-235.00
SCRIPT;		110;		20520;		OPTION;		0;		Alright, let's head over to the station so we can pick up your brand-new ship. I guess 'new' is a relative term though, considering it was manufactured over 80 years ago.[r]My old friend [cyan]Jessa Din[/] is waiting for you at the [yellow]Biomate University[/]. She will help you get familiar with your ship and all the various station services.;		structure_welcome_center.txt>12>NO, I'm not ready yet.;		structure_welcome_center.txt>150>YES, Let's get going.;		null;		null;		null;		null;		null;		860.69;		-373.23
SCRIPT;		120;		50717;		TEXT;		0;		Yeah, we've had a number of instances where things got out of hand. We believe that some of the cryopods suffered damage during the evacuation. This may have caused some damage to the occupant as well. You never can tell I guess.[r]Once the [yellow]Welcome Center[/] was constructed, It made things much easier to manage. It's hard to believe we used to get hundreds of newcomers every month.;		structure_welcome_center.txt>110>I'm ready to continue.;		null;		null;		null;		null;		null;		null;		1038.30;		-419.50
SCRIPT;		11;		12778;		CHECK_VALUE;		0;		welcome_center;		+;		1;		structure_welcome_center.txt>200>IF TRUE;		structure_welcome_center.txt>12>IF FALSE;		null;		null;		null;		614.00;		-235.00
SCRIPT;		200;		10655;		OPTION;		0;		Welcome back friend. Feel free to wander around. Personally I find this place to be very relaxing at times.;		structure_welcome_center.txt>0>Okay, I will hang out for a minute,;		structure_welcome_center.txt>210>Undock from the Welcome Center;		null;		null;		null;		null;		null;		614.92;		-426.74
