//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		3;		female_2.png;		accessory_22.png;		null;		null;		null;		null;		null;		null;		-80.00;		59.00
SCRIPT;		3;		16545;		UI_NAME;		4;		Jessa Din;		null;		null;		null;		null;		null;		null;		null;		-77.00;		-48.00
SCRIPT;		4;		98745;		UI_CHANGEFACTION_ID;		17;		1;		Alpha;		null;		null;		null;		null;		null;		null;		-74.00;		-147.00
SCRIPT;		10;		35868;		CHECK_VALUE;		0;		tutorial_intro;		=;		1;		tutorial_intro.txt>500>IF TRUE;		tutorial_intro.txt>15>IF FALSE;		null;		null;		null;		112.24;		-115.66
SCRIPT;		15;		44462;		CHECK_VALUE;		0;		tutorial_intro;		=;		2;		tutorial_intro.txt>400>IF TRUE;		tutorial_intro.txt>16>IF FALSE;		null;		null;		null;		114.00;		-202.00
SCRIPT;		100;		64066;		TEXT;		0;		Vaya, es un verdadero honor conocerte. Tenía muchas ganas de que me seleccionaran como tu instructor. Sé que todo esto es un poco confuso, pero te aseguro que pronto lo entenderás todo. <br><br>Supongo que estás listo para empezar con tu formación. Hay mucho que aprender y no queremos que te sientas abrumado. Tómate tu tiempo y trabaja a tu propio ritmo.<br><br>Entonces, ¿por dónde deberíamos empezar?;		tutorial_intro.txt>110>Supongo que sí, pero ¿dónde estoy?;		null;		null;		null;		null;		null;		null;		308.00;		-274.00
SCRIPT;		110;		34835;		OPTION;		0;		Actualmente estás atracado en una estación. Uno de nuestros drones de rescate encontró tu cápsula de evacuación criogénica flotando en el vacío. [n][n]Si lo prefieres, puedo ponerte al día de todo lo que te has perdido, o podemos repasar juntos la lista de verificación del entrenamiento. Tú decides, estoy muy emocionado de estar aquí contigo.;		tutorial_intro.txt>120>¿Sabes lo que ha pasado?;        tutorial_intro.txt>200>Me parece bien, pero ve despacio.;        tutorial_intro.txt>300>De acuerdo, pero solo lo básico, quiero salir ahí fuera.;		null;		null;		null;		null;		542.00;		-294.00
SCRIPT;		120;		96902;		OPTION;		0;		No lo sabemos todo, pero esto es lo que hemos recopilado hasta ahora. Todos íbamos a bordo del Imperium hacia un lugar llamado Oasis. No sabemos dónde está ni qué es el Oasis. Lo que sí sabemos es que algo salió terriblemente mal y ahora estamos varados aquí. [r]Suena mucho peor de lo que es. Llevamos varios siglos viviendo juntos en relativa paz.;      tutorial_intro.txt>122>¿Dónde estamos? ¿Qué es el Imperium? tutorial_intro.txt>124>¿Cuánto tiempo llevamos aquí? tutorial_intro.txt>126>¿Cuánto tiempo he estado ahí fuera?		null;		null;		null;		null;		745.00;		-392.00
SCRIPT;		200;		87169;		TEXT;		0;		[s2][cyan]Tutorial introductorio (1 de 10)[/][/s]<br>No hay problema. Avanzaremos a tu ritmo, así que tómate todo el tiempo que necesites. No hay ninguna prisa. Lo primero es lo primero. Puedes [lime]HACER CLIC + ARRASTAR[/] este cuadro de comunicación por la pantalla. [n][n]También puedes [lime]MINIMIZAR[/] esta ventana cuando necesites espacio. Puedes cambiar el tamaño de la ventana arrastrando el icono de cambio de tamaño situado en la parte inferior derecha. Esto puede facilitar la visualización de la pantalla mientras sigues las instrucciones. [n][n]Si se produce una pérdida de conexión, puedes encontrarme en cualquiera de las estaciones de Void Starcross. ;		tutorial_intro.txt>210>Got it, what next?;		tutorial_intro.txt>0>OPTION 2 button text;		tutorial_intro.txt>0>OPTION 3 button text;		null;		null;		null;		null;		1317.00;		-111.00
SCRIPT;		300;		53594;		OPTION;		0;		[s2][cyan]Tutorial introductorio (1 de 3)[/][/s]<br>Entendido, seré breve y conciso. Echemos un vistazo a los [yellow]SERVICIOS DE LA ESTACIÓN[/] a la derecha. Antes de empezar a ganar créditos, [n][n]debes instalar el [orange]Recolector de mineral[/] desde tu [yellow]COMPARTIMIENTO DE CARGA[/]. Pulsa la [lime]tecla TAB[/] y abre el [yellow]GARAJE[/] de la estación.;       tutorial_intro.txt>200>Espera, he cambiado de opinión... explícamelo despacio.;		tutorial_intro.txt>310>SIGUIENTE;		;		null;		null;		null;		null;		1148.00;		-428.00
SCRIPT;		122;		43705;		TEXT;		0;		Bueno, no puedo decir exactamente dónde estamos. Ninguno de nosotros puede. Llamamos a este lugar Astrox, que era el nombre de la última ubicación legible en nuestras cartas de navegación estelar. [n][n]Técnicamente, no tenemos ni idea de dónde estamos, pero a estas alturas, a la mayoría de la gente no parece importarle mucho. En cuanto al Imperium, eso sí que te lo puedo contar. El Imperium era la nave colonial que nos transportaba a más de 200 años luz de distancia, a un lugar llamado el Oasis.;      tutorial_intro.txt>128>¿Y qué pasó con el Imperium?;		null;		null;		null;		null;		null;		null;		315.00;		-407.00
SCRIPT;		124;		64616;		TEXT;		0;		Eso sí lo sabemos. Por suerte para nosotros, uno de los núcleos de energía atómica del Imperium seguía funcionando. Ahora es el corazón de esta estación y lleva más de 230 años en funcionamiento. [n][n]Cuando los primeros supervivientes comenzaron a rescatarse unos a otros, utilizaron un núcleo de energía dañado para activar una de las unidades habitables que se había desprendido durante la explosión. Su rápida reacción salvó miles de vidas.;		tutorial_intro.txt>130>¿Así que he estado ahí fuera todo este tiempo?;		null;		null;		null;		null;		null;		null;		645.00;		-515.00
SCRIPT;		126;		16688;		TEXT;		0;		Técnicamente, tanto como todos los demás. La única diferencia es que la mayoría de nosotros hemos estado despiertos mientras tú dormías. Así que sí, has estado ahí fuera durante unos 230 años, más o menos un ciclo. Sé que es mucho que asimilar, pero una vez que te acostumbres, verás que no está tan mal aquí fuera.;        tutorial_intro.txt>130>Así que, básicamente, he estado durmiendo durante los últimos dos siglos.;		null;		null;		null;		null;		null;		null;		835.00;		-514.00
SCRIPT;		134;		63600;		TEXT;		0;		Bueno, ahí es donde las cosas vuelven a ser confusas. Nunca hemos recuperado más del 10 % de los restos. No sabemos dónde está el núcleo principal de la nave. De hecho, buscar el Imperium se ha convertido en un pasatiempo. Aunque ahora son principalmente los pilotos más veteranos los que siguen buscándolo. [n][n]Todos los pilotos más jóvenes han abandonado hace tiempo la idea. La mayoría cree que todo era solo un mito para inspirar a los pilotos más jóvenes a explorar. Pero las pruebas son reales. La nave existió realmente.;      tutorial_intro.txt>132>De acuerdo, te creo.;		null;		null;		null;		null;		null;		null;		763.00;		-834.00
SCRIPT;		128;		14747;		OPTION;		0;		No lo sabemos con certeza. Hay varias teorías circulando. Desde extraterrestres hasta sabotaje... lo que se te ocurra, alguien tiene una teoría sobre lo que le pasó al Imperium. Las últimas teorías parten de la premisa de que nunca hubo ninguna nave. Son un montón de chiflados, te lo digo yo. [n][n]Supongo que después de estar aquí solo en el vacío durante tanto tiempo... cualquier cosa parece posible.;		tutorial_intro.txt>124>¿Cuánto tiempo lleva esto sucediendo aquí?;        tutorial_intro.txt>130>¿Cuánto tiempo he estado dormido?;        tutorial_intro.txt>140>¿Y si realmente no hay ninguna nave?;		null;		null;		null;		null;		312.00;		-491.00
SCRIPT;		130;		82922;		TEXT;		0;		Sí, has estado dormido en tu cápsula de evacuación criogénica todo este tiempo. Eres el primer refugiado que vemos en más de 70 años. Esta estación solía estar llena de instructores y pilotos de Newgee, pero con el paso de las décadas, cada vez llegaban menos, hasta que un día, simplemente dejó de llegar nadie. Eres una especie de celebridad. tutorial_intro.txt>132>¿Qué? ¡Eso es una locura! ¿Por qué?;		null;		null;		null;		null;		null;		null;		648.00;		-628.00
SCRIPT;		132;		68095;		OPTION;		0;		Como dije, hace bastante tiempo que no vemos a un Newgee por aquí. Quizás te estés preguntando por tu nave inicial y los  55 000 créditos que tienes en tu cuenta. Es solo una ayuda de los Alphas para que puedas empezar. [n][n]Antes, cuando procesábamos entre 20 y 30 refugiados al día, había mucho más apoyo. Ahora solo quedamos unos pocos instructores. [n][n]Pero no te preocupes, los pilotos veteranos seguimos sabiendo todos los trucos. ;        tutorial_intro.txt>200>Empecemos con el entrenamiento. ;        tutorial_intro.txt>150>Aún no estoy listo para entrenar. Primero quiero echar un vistazo.;        tutorial_intro.txt>300>Solo lo básico, por favor, estoy ansioso por salir ahí fuera.;		null;		null;		null;		null;		833.00;		-628.00
SCRIPT;		140;		18897;		OPTION;		0;		Por supuesto que hay una nave. ¿Cómo diablos estarías aquí si no? No es como si nos hubiéramos teletransportado aquí.  Solo un consejo: si empiezas a decir tonterías por aquí, perderás rápidamente tu estatus de celebridad entre los lugareños.;     tutorial_intro.txt>132>¿Qué estatus de celebridad?;      tutorial_intro.txt>134>Solo quiero saber si el Imperium es real.		null;		null;		null;		null;		null;		657.00;		-738.00
SCRIPT;		150;		76054;		TEXT;		0;		No hay problema. Tómate tu tiempo para explorar un poco la estación. Aunque al principio te resulte confuso, una vez que aprendas lo básico, te resultará muy fácil.[n][n] De todos modos, estaré aquí si me necesitas. Solo haz [lime]CLICK[/] en las [yellow]OFICINAS[/] de la estación tab.;		tutorial_intro.txt>0>Vale, gracias. No tardaré mucho.;		null;		null;		null;		null;		null;		null;		930.00;		-835.00
SCRIPT;		210;		90589;		OPTION;		0;		[s2][cyan]Tutorial introductorio (2 of 10)[/][/s]<br>Echemos un vistazo al panel de la estación. Se encuentra en la parte derecha de la pantalla. Cada estación cuenta con una serie de servicios que te proporcionarán todo lo que necesitas para sobrevivir aquí. No todas las estaciones disponen de todos los servicios, así que toma nota de cuáles tienen los servicios que necesitas. [n][n]Normalmente, cada estación cobra una pequeña tarifa de atraque, así que ten en cuenta tus créditos. Puedes verlos en la parte superior derecha.;		tutorial_intro.txt>200>ATRÁS;		tutorial_intro.txt>220>NEXT;		;		null;		null;		null;		null;		1499.00;		-109.00
SCRIPT;		220;		70492;		OPTION;		0;		[s2][cyan]Tutorial introductorio (3 of 10)[/][/s]<br>Cada servicio que se ofrece aquí es muy importante, por lo que le recomiendo encarecidamente que dedique unos minutos a explorar lo que hay disponible. [n][n]Puede que al principio resulte un poco abrumador, pero no te desanimes. Por ahora solo nos centraremos en algunos de los servicios principales. El [yellow]MERCADO[/], y el [yellow]GARAJE[/] serán probablemente los sitios mas visitados.;		tutorial_intro.txt>210>ATRÁS;		tutorial_intro.txt>230>NEXT;		;		null;		null;		null;		null;		1684.00;		-105.00
SCRIPT;		230;		75688;		OPTION;		0;		[s2][cyan]Tutorial introductorio (4 of 10)[/][/s]<br>Abrimos el MERCADO y echamos un vistazo a los artículos disponibles. Todos los artículos del mercado se pueden ordenar utilizando el botón [yellow]ORDENAR[/]. [lime]PASA EL RATÓN[/] sobre un elemento para ver más información sobre los artículos que se compran y venden aquí.. [n][n]Puedes vender artículos desde la [yellow]BODEGA[/] de tu nave, haciendo [lime]CLIC + ARRASTAR[/] al mercado. Abre tu [yellow]BODEGA[/] presionando [lime]TAB[/].;		tutorial_intro.txt>220>ATRÁS;		tutorial_intro.txt>240>NEXT;		;		null;		null;		null;		null;		1866.00;		-105.00
SCRIPT;		240;		62529;		OPTION;		0;		[s2][cyan]Tutorial introductorio (5 of 10)[/][/s][n]El [yellow]MERCADO[/] tiene mucho que ofrecer, así que tómate tu tiempo y explora la variedad de artículos. Asegúrate de revisar cada [yellow]PÁGINA[/] para conseguir buenas ofertas en los artículos que necesitas. Ten en cuenta que algunos artículos pueden requerir alguna de las [yellow]HABILIDADES[/] antes de poder utilizarlos.[n]Entonces, ¿adónde van todos estos artículos una vez que los compras?;		tutorial_intro.txt>230>ATRÁS;		tutorial_intro.txt>250>NEXT;		;		null;		null;		null;		null;		1865.00;		-218.00
SCRIPT;		250;		35099;		OPTION;		0;		[s2][cyan]Tutorial introductorio (6 of 10)[/][/s]<br>La [yellow]BODEGA[/] es donde tu nave puede transportar minerales, mercancías, munición para tus torretas. Básicamente, todo lo que necesites llevar contigo viaja en la [yellow]BODEGA[/]. Cualquier equipo instalado en su nave puede verse desde el [yellow]GARAJE[/]. Abre el [yellow]GARAJE[/] y echa un vistazo a tu nave inicial.[n][n]Es posible que observes que tu nave inicial tiene algunos objetos ya en la [yellow]BODEGA[/].  Tendremos que instalar algunos de estos elementos antes de desacoplarnos y salir al espacio. El sistema de soporte vital de la nave podrá utilizar esos elementos de apoyo, lo que te ayudará a aguantar más tiempo en el espacio con una nave dañada.;		tutorial_intro.txt>240>ATRÁS;		tutorial_intro.txt>260>NEXT;		;		null;		null;		null;		null;		1697.00;		-217.00
SCRIPT;		260;		12973;		OPTION;		0;		[s2][cyan]Tutorial introductorio (7 of 10)[/][/s]<br>El [yellow]GARAGE[/] es aquí donde instalarás el equipamiento en tu nave. Hay dos tipos de módulos que se pueden instalar. Están los [orange]MODULOS ACTIVOS[/], y [orange]MÓDULOS PASIVOS[/]. También puedes acceder al panel [yellow]SOPORTE VITAL[/] desde el GARAGE también.[n][n]Para prepararnos para nuestra primera misión, vamos a instalar esto [orange]Recolector de minerales x1[/] desde la [yellow]BODEGA[/]. A continuación, instalaremos los dos objetos [orange]SOPORTE VITAL[/].[n][n]Abramos la estación [yellow]GARAGE[/] y realizar algunos cambios en la configuración de la nave.;		tutorial_intro.txt>250>ATRÁS;		tutorial_intro.txt>270>NEXT;		;		null;		null;		null;		null;		1520.00;		-218.00
SCRIPT;		270;		28144;		OPTION;		0;		[s2][cyan]Tutorial introductorio (8 of 10)[/][/s]<br>Antes de poder instalar el [orange]Recolector de minerales 1[/] en tu nave, tendremos que quitar el [orange]Láser del pulso x1[/] para hacer un poco de espacio para este [orange]MÓDULO ACTIVO[/]. Con el ratón,  [lime]PULSA Y ARRASTRA[/] el [orange]Laser de pulso x1[/] desde el GARAGE, y arrástralo hasta la [yellow]BODEGA[/] en la izquierda.[n][n] Como atajo, también puedes hacer [lime] CLIC DERECHO[/] cualquier módulo instalado para retirarlo de la nave. Para que un módulo pueda retirarse correctamente, no debe presentar ningún daño actual.[n][n] El [yellow]GARAGE[/] también te permitirá reparar los módulos dañados. Además, podrás personalizar los colores de tu nave.;		tutorial_intro.txt>260>ATRÁS;		tutorial_intro.txt>280>NEXT;		;		null;		null;		null;		null;		1334.00;		-218.00
SCRIPT;		280;		67699;		OPTION;		0;		[s2][cyan]Tutorial introductorio (9 of 10)[/][/s]<br>See, that was easy. I'm sure you have guessed by now, you can do the exact reverse to install [orange]ACTIVE and PASSIVE MODULES[/] onto a ship. [n][n]Let's install that [orange]Ore Harvester 1[/] by dragging it from the [yellow]BODEGA[/], and dropping it onto the empty [orange]ACTIVE MODULE SLOT[/].[n][n]Once you have your modules installed, let's open up the [yellow]LIFE SUPPORT[/] panel by clicking the button on the [yellow]GARAGE[/] panel, or pressing the [lime](K key)[/].With the [yellow]LIFE SUPPORT[/] panel open, we will want to drag and drop the support items onto this panel for installation.[n][n][lime](DRAG and DROP)[/] the [orange]Basic Filter[/] and [orange]Protein Bar[/] onto the [yellow]LIFE SUPPORT[/] panel. You can find more information about the life support systems in the station offices, but for now, this should be enough to keep you safe here in Void Starcross.;		tutorial_intro.txt>270>ATRÁS;		tutorial_intro.txt>290>NEXT;		;		null;		null;		null;		null;		1324.00;		-327.00
SCRIPT;		290;		74420;		OPTION;		0;		[s2][cyan]Tutorial introductorio (10 of 10)[/][/s][n]Well look at that, You almost look like a veteran miner with that rusty ship of yours. [n][n]Just let me know when you are ready to mine that first rock, and I will walk you through the process. Don't worry, it is not complicated at all. Some might even say it is relaxing. ;		tutorial_intro.txt>280>ATRÁS;		tutorial_intro.txt>295>I'm ready to mine my first rock.;		tutorial_intro.txt>297>I will come back to the OFFICES when I am ready.;		null;		null;		null;		null;		1512.00;		-328.00
SCRIPT;		295;		11686;		SET_VALUE;		600;		tutorial_intro;		1;		null;		null;		null;		null;		null;		null;		1296.00;		-942.00
SCRIPT;		297;		59746;		SET_VALUE;		298;		tutorial_intro;		2;		null;		null;		null;		null;		null;		null;		1738.00;		-941.00
SCRIPT;		500;		31490;		OPTION;		0;		Welcome back, don't worry, those rocks aren't going anywhere, Just let me know when you are ready and I will walk you through the mission.;		tutorial_intro.txt>200>I need a refresher, I am confused.;		tutorial_intro.txt>600>Alright, I think I am ready.;		;		null;		null;		null;		null;		1025.00;		-111.00
SCRIPT;		298;		35947;		OPTION;		0;		No problem. I have an office at the stations here in Void Starcross. Drop by at anytime.;		tutorial_intro.txt>0>Thank you, I'll be back.;		tutorial_intro.txt>295>Never mind, I am ready. Let's do this.;		null;		null;		null;		null;		null;		1525.00;		-938.00
SCRIPT;		600;		63047;		TEXT;		0;		I have given you a special mission. This mission will require that you locate a particular rock out there in space. [n][n]Don't worry, it's not far at all. Once you undock, you will be able to activate the ship's [yellow]TACTICAL SENSORS[/] by pressing the [lime]SPACEBAR[/]. This will show us all the rocks in the sector, and color the mission rock yellow. Let's go, I'll show ya.;		tutorial_intro.txt>605>About time....;		null;		null;		null;		null;		null;		null;		1028.00;		-943.00
SCRIPT;		310;		47242;		OPTION;		0;		[s2][cyan]Tutorial introductorio (2 of 3)[/][/s]<br>Remove the [orange]Pulse x1 Laser[/] by [lime]CLICKING[/] and [lime]DRAGGING[/] the item from the [yellow]GARAGE[/], and drop it onto your [yellow]BODEGA[/]. [n][n]Then [lime]DRAG[/] the Ore Harvester 1 onto the empty [orange]ACTIVE MODULE[/] slot in the [yellow]GARAGE[/]. Once you have both mining lasers installed, we can continue.;		tutorial_intro.txt>300>ATRÁS;		tutorial_intro.txt>320>NEXT;		;		null;		null;		null;		null;		1148.00;		-528.00
