//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_5.png;		accessory_16.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Jacob Salis;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		It looks like you might be looking for some information about how to use Mercs to grow your fleet. My name is Jacob, and I will be walking you through the basics of Mercs and how to get set up running your fleet. There are a few things you are going to need to know before you get started.[n][n]Say the word and I will begin your training.;		tutorial_mercs.txt>100>Okay, teach me about Mercs.;		tutorial_mercs.txt>200>Not right now.;		;		null;		null;		null;		null;		411.00;		-219.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (1 of 8)[/][/s][n]This first step we will need to cover, is training the [magenta]FLEET COMMAND[/] skill. For each level of this skill that you train, you will be able to control one additional Merc.  The maximum number of Mercs your are able to control in your fleet is 10.[n][n]You will need to find the [magenta]FLEET COMMAND[/] skill at one of the stations in your starting sector. Train this skill to level one when you are ready to proceed to the next step.;		tutorial_mercs.txt>10>BACK;		tutorial_mercs.txt>110>NEXT;		;		null;		null;		null;		null;		417.00;		-305.00
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting when you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_mercs.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		645.00;		-220.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (2 of 8)[/][/s][n]Now that you have the [magenta]FLEET COMMAND[/] skill trained to level one, you are now able to hire a Mercenary from the[yellow]STATION  LOUNGE[/]. The [yellow]LOUNGE[/] will not only provide you a place to hire Mercs, but it will also provide you the much needed RnR that can be required to keep those space-faring ruffians happy and ready to work.[n][n]Head over to the [yellow]STATION LOUNGE[/] and let us take a look at the available mercenaries.;		tutorial_mercs.txt>100>BACK;		tutorial_mercs.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-399.00
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (3 of 8)[/][/s][n]Once inside the [yellow]LOUNGE[/], click the [yellow]MERCS[/] button for a list of all the available mercenaries at this station. Not every station will have a [yellow]LOUNGE[/], but all lounges will have Mercs for hire.[n][n]You will notice each merc has a different ship, modules, and faction rating requirements. Find a Merc that fits your style might take some time, so pay attention to their equipment, and their specialty.[n][n]A Merc's specialty will indicate what kind of work the Merc is prepared to do. Forcing your mining Mercs into combat is not recommended. Neither is making your combat Mercs mine ore. They will eventually tire of your chores and abandon the fleet.;		tutorial_mercs.txt>110>BACK;		tutorial_mercs.txt>130>NEXT;		;		null;		null;		null;		null;		418.00;		-490.00
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (4 of 8)[/][/s][n]I recommend hiring a low level Mining Merc for your first addition to the fleet. By shopping around a few stations, you will find a Mining Merc that is suitable and not too expensive. Keep in mind, you will need to have some basic faction standing before you are able to hire any Merc of any faction. This can easily be achieved by running a few missions for that station. Each Merc will have the same faction as the station at which they reside.[n][n]Once you are ready to hire your first Merc, and you are sure that you meet all the faction and skill requirements, we can proceed to the next step.;		tutorial_mercs.txt>120>BACK;		tutorial_mercs.txt>140>NEXT;		;		null;		null;		null;		null;		418.00;		-578.00
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (5 of 8)[/][/s][n]From the [yellow]LOUNGE[/] display list, [green]SELECT[/] and the [green]HIRE[/] a Merc. They will automatically be added to the fleet, and you will see their ship slide into dock formation with your ship.[n][n]You are now the commander of your very first, and very small fleet. Learning to control your fleet will not be a simple, but it will not take long at all before you understand how it all works.[n][n]When you are ready to continue with the lesson. [green]UNDOCK[/] from the station and we will continue this tutorial where we have some room to move around.;		tutorial_mercs.txt>130>BACK;		tutorial_mercs.txt>150>NEXT;		;		null;		null;		null;		null;		418.00;		-669.00
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Basic Mercs Tutorial (6 of 8)[/][/s][n]We will need to open the [yellow]COMMAND PANEL[/] in the bottom right of your HUD. You can use the hotkey (F) to open the panel quickly. This panel will default to the [yellow]FLEET COMMAND[/], but it can also display all of the [yellow]DRONES[/] your ship is currently controlling. For now, we will focus only on the [yellow]FLEET[/] panel. [n][n]The [yellow] FLEET [/]panel will display all of the active Mercs you currently have flying with you in your fleet. These Mercs will stay with you at all times, and this panel will help you keep track of their behavior.[n][n]Take a moment to explore the options and functions of the [yellow]FLEET[/] panel. The mouse over text will describe each button's function. You can also select and deselect multiple Mercs, allow you to send commands to all the selected Mercs.;		tutorial_mercs.txt>140>BACK;		tutorial_mercs.txt>160>NEXT;		;		null;		null;		null;		null;		418.00;		-761.00
