//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_3.png;		accessory_18.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Adjintis Darn;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		Well hey there, You must be the Newgee everyone is talking about. I am Adji, and I have been assigned to help you learn the basics of navigation.[r]It won't take long at all to grasp the basics, so just let me know when ever you are ready, and we can get started.;		tutorial_navigation_basics.txt>100>Okay, teach me the basics.;		tutorial_navigation_basics.txt>200>Maybe some other time.;		;		null;		null;		null;		null;		411.00;		-219.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (1 of 8)[/][/s][n]Before we get started, let's go ahead and [yellow]UNDOCK[/] from the station. You will find a button for that on the right hand side of the station under [yellow]STATION SERVICES[/].;		tutorial_navigation_basics.txt>10>BACK;		tutorial_navigation_basics.txt>110>NEXT;		;		null;		null;		null;		null;		417.00;		-305.00
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting when you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_navigation_basics.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		645.00;		-220.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (2 of 8)[/][/s][n]Now that we are outside of the station, rotate your [yellow]CAMERA[/] around using the [lime]RIGHT MOUSE CLICK[/] and [lime]DRAGGING[/] the mouse around until you see one of those big rocks floating around out there. The [lime]MOUSE WHEEL[/] can be used to [yellow]ZOOM[/] the [yellow]CAMERA[/] in and out.;		tutorial_navigation_basics.txt>100>BACK;		tutorial_navigation_basics.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-399.00
SCRIPT;		120;		73429;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (3 of 8)[/][/s][n][lime]LEFT MOUSE CLICK[/] on an item to lock onto the object. The object will appear in your ship's [yellow]TARGETING SYSTEM[/]. You can toggle the [yellow]TARGETING SYSTEM[/] using the [lime](T key)[/].[r]The [yellow]TARGETING SYSTEM[/] will display all of the current targets your ship has locked. ;		tutorial_navigation_basics.txt>110>BACK;		tutorial_navigation_basics.txt>130>NEXT;		;		null;		null;		null;		null;		418.00;		-490.00
SCRIPT;		130;		28480;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (4 of 8)[/][/s][n]By clicking any target from the list of targets in your [yellow]TARGETING SYSTEM[/], your ship will focus on that target, and additional information will be displayed on the  [yellow]HUD[/] about the selected target.[r]Now, let's take a look at our [yellow]AUTOPILOT[/] panel. You can toggle the [yellow]AUTOPILOT[/] panel by using the [lime](R Key)[/].;		tutorial_navigation_basics.txt>120>BACK;		tutorial_navigation_basics.txt>140>NEXT;		;		null;		null;		null;		null;		418.00;		-578.00
SCRIPT;		140;		48929;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (5 of 8)[/][/s][n]Your ship can automatically autopilot to any target you have scanned. If your ship's [yellow]AUTOPILOT[/] is turned on, your ship will automatically travel to the target and stop once it gets within range.[r]Let's turn on your ship's [yellow]AUTOPILOT[/]. Press the [lime](E Key)[/] on the keyboard. You will notice that your ship will begin moving to the selected target.;		tutorial_navigation_basics.txt>130>BACK;		tutorial_navigation_basics.txt>150>NEXT;		;		null;		null;		null;		null;		418.00;		-669.00
SCRIPT;		150;		37559;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (6 of 8)[/][/s][n]There are a few different ways that you can activate your ship's autopilot. [lime]DOUBLE LEFT CLICK[/] any target on the map to autopilot to that target.[r]You can toggle the [yellow]AUTOPILOT[/] by clicking the small [lime]AUTOPILOT TOGGLE[/] button located in the [yellow]AUTOPILOT[/] panel in the upper right of your display.;		tutorial_navigation_basics.txt>140>BACK;		tutorial_navigation_basics.txt>160>NEXT;		;		null;		null;		null;		null;		418.00;		-761.00
SCRIPT;		160;		18697;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (7 of 8)[/][/s][n]You can manually fly your ship around using the [lime]WASD[/] keys on your keyboard. The [lime]SHIFT[/] key will activate your ship's [yellow]AFTERBURNERS[/].[r]Take a moment to fly around using the [lime]WASD[/] manual controls. You can use these controls in conjunction with the ship's [yellow]AUTOPILOT[/]. ;		tutorial_navigation_basics.txt>150>BACK;		tutorial_navigation_basics.txt>170>NEXT;		;		null;		null;		null;		null;		417.00;		-849.00
SCRIPT;		170;		38071;		OPTION;		0;		[s2][cyan]Basic Navigation Tutorial (8 of 8)[/][/s][n]You can use the ship's onboard [yellow]TACTICAL SENSORS[/] [lime](SPACEBAR Key)[/] to easily click on those small fast moving ships, or those tiny rocks off in the distance.[r]With a bit of practice, you will be zipping around out there in no time. If you ever need a refresher, you know where to find me.;		tutorial_navigation_basics.txt>170>BACK;		tutorial_navigation_basics.txt>0>Thank you.;		;		null;		null;		null;		null;		420.00;		-931.00
