//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2019
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		2;		START;		UI_CHANGEIMAGE;		4;		male_6.png;		accessory_12.png;		null;		null;		null;		null;		null;		null;		120.00;		-81.00
SCRIPT;		4;		16545;		UI_NAME;		6;		Spoony;		null;		null;		null;		null;		null;		null;		null;		309.00;		-83.00
SCRIPT;		6;		98745;		UI_CHANGEFACTION_ID;		10;		1;		Alpha;		null;		null;		null;		null;		null;		null;		503.00;		-84.00
SCRIPT;		10;		START;		OPTION;		0;		Wormholes are a strange phenomenon out here in the Astrox universe. We don't know everything there is to know, but over time, we have been able to piece together some of the basics.[n][n] This tutorial will walk you through some of those basics and help you to locate and survive the exploration of these wormholes.;		tutorial_wormholes.txt>100>Okay, teach me about Wormholes.;		tutorial_wormholes.txt>200>Not right now.;		;		null;		null;		null;		null;		411.00;		-219.00
SCRIPT;		100;		52513;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (1 of 10)[/][/s][n]Wormholes are a rare anomaly in the Astrox Universe. They are natural warp gates to unseen sectors not shown on the map until explored. Wormholes use natural cosmic energy to warp a ship from one end of the wormhole to the other. The energy involved can take time to store up in the wormhole. When the wormhole is used, energy is used as well. This can cause the wormhole to become unstable and eventually collapse it entirely.[n][n]It is currently unknown what causes wormholes to generate, but we do know it has something to do with concentrated energy. Wormholes have a small gravitational pull, and often collect trash and debris from the sector. In some cases, the items can be extremely valuable.[n][n]Wormholes can be some of the most dangerous places in the universe. Hostile environments and extremely low security can prove deadly for even the most seasoned pilots. ;		tutorial_wormholes.txt>10>BACK;		tutorial_wormholes.txt>110>NEXT;		null;		null;		null;		null;		null;		417.13;		-300.72
SCRIPT;		200;		81314;		TEXT;		0;		No problem, I will be right here waiting when you change your mind. It's not a bad idea to take a refresher course from time to time.;		tutorial_wormholes.txt>0>Okay.;		null;		null;		null;		null;		null;		null;		638.00;		-215.00
SCRIPT;		110;		54732;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (2 of 10)[/][/s][n]Finding wormholes can be tricky, since they do not spawn very often. When they do, it is hard to know where they are. You cannot see them very well with the naked eye, but using some specialized equipment will help you locate their position. [n][n]This may seem confusing at first but do not worry you will quickly get the hang of it and be able to find yourself a paradise or Raider hole whenever you want.;		tutorial_wormholes.txt>100>BACK;		tutorial_wormholes.txt>120>NEXT;		;		null;		null;		null;		null;		417.00;		-391.00
SCRIPT;		120;		45338;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (3 of 10)[/][/s][n]The [green]Active Scanner[/] will report if a Sector has Wormhole energy nearby. Just turn the Active Scanner on and wait for it to cycle, if nothing appears this means there currently isn't a Wormhole. If a report appears it will also provide the signal strength and will display the current relative distance (does not include direction) from your ship. [n][n]Pick a direction and move your ship approx. 100m and wait for it to cycle again, this will give you this distance again and using this information you can pilot towards the signal source.;		tutorial_wormholes.txt>110>BACK;		tutorial_wormholes.txt>130>NEXT;		;		null;		null;		null;		null;		422.00;		-485.00
SCRIPT;		130;		69329;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (4 of 10)[/][/s][n]For example if the Wormhole shows at 1000m and you move 100m towards a station/structure/rock and on the next cycle it shows you are now 1100m you know the Wormhole is roughly the opposite direction of your current position. [n][n]Turn your Passive Scanner on (set to gate mode in the filter) and once you are within Passive Scanner range the Wormhole will become targeted.;		tutorial_wormholes.txt>120>BACK;		tutorial_wormholes.txt>140>NEXT;		;		null;		null;		null;		null;		423.00;		-571.00
SCRIPT;		140;		73429;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (5 of 10)[/][/s][n]The sector area that a wormhole will transport you to will remain accessible even if the wormhole itself has collapsed. [n][n]Warp drive systems are still a viable way to travel to a wormhole sector, but they can be a nightmare if you find yourself without enough fuel to get back. This may require that you harvest a star for fuel, so it is highly recommended that you always carry a harvesting beam with you when warp driving to a wormhole. The wormhole sectors usually have  more jumps available at the exit gate, than the wormhole entrance.;		tutorial_wormholes.txt>130>BACK;		tutorial_wormholes.txt>150>NEXT;		;		null;		null;		null;		null;		415.00;		-652.00
SCRIPT;		150;		28480;		OPTION;		0;		[s2][cyan]Basic Wormhole Tutorial (6 of 10)[/][/s][n]There are two different ways that you can keep a wormhole open and usable. The first way is to construct an energy generator near the wormhole gate. This will provide a source of energy to the wormhole and will constantly recharge the energy it uses to warp your ship. This will keep the wormhole open, however the number of consecutive uses is still limited. You will need to wait for the wormhole to recharge.[n][n]The second way to stabilize a wormhole is to construct a warpgate on top of it. Once a warpgate harness has been assembled around an entrance or exit, with a Energy Generator in range, the wormhole will transform into a warpgate, and no longer require an energy recharge for usage. If the warpgate is destroyed, the wormhole will collapse and the gate will no longer exist.;		tutorial_wormholes.txt>140>BACK;		tutorial_wormholes.txt>160>Thank you.;		null;		null;		null;		null;		null;		415.28;		-732.95
